gene_symbol,gene_id,entrez_id,chromosome,strand,number_of_transcripts,median_transcriptome_length,median_genome_length,median_number_of_exons,median_gene_start,median_gene_end
ADAM23,8674,8745,2,+,1,3024,174311,26,207308368,207482679
ADAM28,10705,10863,8,+,2,2646,51589,18,24151580,24203169
ADAM29,10928,11086,4,+,4,3228,59822,4,175839509,175899331
ADAM30,10927,11085,1,-,1,2957,2957,1,120436156,120439113
ADAM32,83717,203102,8,+,1,2702,177386,25,38965050,39142436
ADAM33,56133,80332,20,-,2,3458,14118,22,3648620,3662738
ADAM3A,1575,1587,8,-,3,2461,71906,21,39308564,39380470
ADAM5P,90310,255926,8,+,1,1690,88193,15,39172182,39260375
ADAM6,8683,8755,14,-,1,1840,2539,2,106435819,106438358
ADAM7,8684,8756,8,+,1,2572,67766,22,24298509,24366275
ADAM8,98,101,10,-,3,3112,14487,22,135075920,135090407
ADAM9,8682,8754,8,+,4,3953,108274,21,38854505,38962779
ADAMDEC1,27044,27299,8,+,3,2334,21728,14,24241798,24263526
ADAMTS1,9369,9510,21,-,1,4642,9122,9,28208606,28217728
ADAMTS10,57475,81794,19,-,1,4211,30462,26,8645126,8675588
ADAMTS12,57473,81792,5,-,1,4930,364837,24,33527287,33892124
ADAMTS13,10934,11093,9,+,4,4690,37388,29,136287120,136324508
ADAMTS14,80112,140766,10,+,2,5240,89636,22,72432559,72522195
ADAMTS15,82001,170689,11,+,1,5668,27670,8,130318869,130346539
ADAMTS16,82002,170690,5,+,1,4951,179969,23,5140443,5320412
ADAMTS17,82003,170691,15,-,1,6309,370540,22,100511643,100882183
ADAMTS18,82004,170692,16,-,1,5890,152986,23,77316025,77469011
ADAMTS19,82222,171019,5,+,1,5066,278273,23,128796103,129074376
ADAMTS2,9368,9509,5,-,2,4384,214562,16,178557869,178772431
ADAMTS20,55872,80070,12,-,1,5694,197712,39,43748012,43945724
ADAMTS3,9367,9508,4,-,1,5799,287829,22,73146687,73434516
ADAMTS4,9366,9507,1,-,1,4323,9307,9,161159538,161168845
ADAMTS5,10937,11096,21,-,1,9655,49208,8,28290231,28339439
ADAMTS6,11015,11174,5,-,1,7243,333141,25,64444563,64777704
ADAMTS7,11014,11173,15,-,1,5466,52228,24,79051545,79103773
ADAMTS8,10936,11095,11,-,1,3654,23721,9,130274818,130298539
ADAMTS9,36278,56999,3,-,1,7272,172034,40,64501331,64673365
ADAMTSL1,60237,92949,9,+,2,4815,323846,21,18474104,18797950
ADAMTSL2,9575,9719,9,+,2,3878,42010,19,136398630,136440641
ADAMTSL3,36464,57188,15,+,1,7305,385755,30,84322838,84708593
ADAMTSL4,33798,54507,1,+,2,3530,10420,17,150521898,150532318
ADAMTSL5,109668,339366,19,-,1,2845,8171,12,1505017,1513188
ADAP1,10875,11033,7,-,1,2311,56752,11,937537,994289
ADAP2,35092,55803,17,+,1,2738,37457,11,29248754,29286211
ADAR,100,103,1,-,5,6578,26190,15,154554534,154580724
ADARB1,101,104,21,+,7,4926,151985,12,46494493,46646478
ADARB2,102,105,10,-,1,3644,551645,10,1228073,1779718
ADAT1,23290,23536,16,-,2,3563,24974,11,75632247,75657221
ADAT2,79613,134637,6,-,1,6247,27872,6,143743969,143771841
ADAT3,76647,113179,19,+,1,1578,8029,2,1905417,1913446
ADC,76665,113451,1,+,1,2170,39281,12,33546714,33585995
ADCK1,36420,57143,14,+,2,2122,133871,10,78266426,78400297
ADCK2,59990,90956,7,+,1,2356,21955,8,140372953,140394908
ADCK3,NA,NA,1,+,1,2909,47308,15,227127938,227175246
ADCK4,55736,79934,19,-,2,2244,24466,14,41197434,41221900
ADCK5,83707,203054,8,+,1,1946,20722,15,145597731,145618453
ADCY1,104,107,7,+,1,12478,148589,20,45614125,45762714
ADCY10,35100,55811,1,-,2,5162,104828,32,167778625,167883453
ADCY2,105,108,5,+,1,6528,433851,25,7396343,7830194
ADCY3,106,109,2,-,1,4375,100016,21,25042039,25142055
ADCY4,83447,196883,14,-,3,3393,16722,26,24787555,24804277
ADCY5,108,111,3,-,2,5590,150148,21,123001143,123151290
ADCY6,109,112,12,-,2,6200,20370,21,49159978,49180348
ADCY7,110,113,16,+,1,6113,30220,25,50321823,50352043
ADCY8,111,114,8,-,1,4083,260288,18,131792547,132052835
ADCY9,112,115,16,-,1,7716,153536,11,4012650,4166186
ADCYAP1,113,116,18,+,2,3168,7052,4,905120,912173
ADCYAP1R1,114,117,7,+,4,6515,59017,16,31092076,31151093
ADD1,115,118,4,+,4,3989,86205,16,2845584,2931789
ADD2,116,119,2,-,5,3803,105631,16,70889216,70995375
ADD3,117,120,10,+,3,4334,127612,14,111767711,111895323
ADH1A,NA,NA,4,-,1,1491,14662,9,100197523,100212185
ADH1B,122,125,4,-,1,2673,15045,9,100227527,100242572
ADH1C,121,124,4,-,1,1464,16268,9,100257649,100273917
ADH4,124,127,4,-,1,1970,20616,9,100044833,100065449
ADH5,125,128,4,-,1,2634,17801,9,99992130,100009931
ADH6,127,130,4,-,2,2093,15566,8,100124837,100140403
ADH7,128,131,4,-,2,2186,23061,9,100333418,100356479
ADHFE1,79713,137872,8,+,1,1881,36326,14,67344718,67381044
ADI1,34545,55256,2,-,1,1672,21660,4,3501690,3523350
ADIG,80809,149685,20,+,1,767,7266,3,37209838,37217104
ADIPOQ,9235,9370,3,+,2,4600,15789,4,186560463,186576252
ADIPOR1,30576,51094,1,-,2,2122,17632,8,202909961,202927592
ADIPOR2,55405,79602,12,+,1,3957,97598,8,1800247,1897845
ADK,129,132,10,+,2,2039,545356,11,75923704,76469060
ADM,130,133,11,+,1,1445,2281,4,10326642,10328923
ADM2,55726,79924,22,+,1,4244,4854,2,50920012,50924866
ADNP,23149,23394,20,-,2,4621,40644,4,49506883,49547527
ADNP2,22606,22850,18,+,1,5383,31313,4,77866915,77898228
ADO,59080,84890,10,+,1,3723,3723,1,64564516,64568239
ADORA1,131,134,1,+,2,2838,39697,4,203096836,203136533
ADORA2A,132,135,22,+,1,2563,14795,3,24823530,24838325
ADORA2B,133,136,17,+,1,1883,30979,2,15848231,15879210
ADORA3,137,140,1,-,3,2144,20773,6,112025970,112046743
ADPGK,57684,83440,15,-,3,2552,32418,7,73043708,73076126
ADPRH,138,141,3,+,1,3434,10269,5,119298523,119308792
ADPRHL1,76675,113622,13,-,2,1782,29226,7,114076422,114105648
ADPRHL2,34225,54936,1,+,1,1685,5080,6,36554453,36559533
ADRA1A,145,148,8,-,4,2182,104280,3,26618642,26722922
ADRA1B,144,147,5,+,1,2252,56277,2,159343740,159400017
ADRA1D,143,146,20,-,1,2664,28381,2,4201278,4229659
ADRA2A,147,150,10,+,1,3872,3872,1,112836790,112840662
ADRA2B,148,151,2,-,1,3265,3265,1,96778623,96781888
ADRA2C,149,152,4,+,1,1957,1957,1,3768296,3770253
ADRB1,150,153,10,+,1,2861,2861,1,115803806,115806667
ADRB2,151,154,5,+,1,2041,2041,1,148206156,148208197
ADRB3,152,155,8,-,1,2644,3670,2,37820514,37824184
ADRBK1,153,156,11,+,1,3423,20124,21,67033905,67054029
ADRBK2,154,157,22,+,1,9034,164397,21,25960861,26125258
ADRM1,10889,11047,20,+,2,1393,5891,10,60878027,60883918
ADSL,155,158,22,+,2,1462,20071,12,40742504,40762575
ADSS,156,159,1,-,1,2769,43642,13,244571794,244615436
ADSSL1,78903,122622,14,+,2,1770,20266,13,105193381,105213647
AEBP1,162,165,7,+,1,4060,10199,21,44143960,44154159
AEBP2,78850,121536,12,+,2,5371,82565,8,19592608,19675173
AEN,41355,64782,15,+,1,3112,10985,4,89164527,89175512
AES,163,166,19,-,3,1669,9463,7,3052908,3062371
AFAP1,37778,60312,4,-,2,7626,181213,18,7760440,7941653
AFAP1-AS1,58936,84740,4,+,1,6792,24837,2,7755817,7780654
AFAP1L1,79593,134265,5,+,2,4129,69966,18,148651401,148721367
AFAP1L2,58831,84632,10,-,2,3951,109932,19,116054583,116164515
AFF1,4274,4299,4,+,2,9311,170045,20,87892154,88062198
AFF2,2318,2334,X,+,6,13621,500054,20,147582139,148082193
AFF3,3874,3899,2,-,2,8104,576825,24,100163716,100740541
AFF4,26870,27125,5,-,1,9559,88283,21,132211071,132299354
AFG3L1P,169,172,16,+,3,2919,24040,11,90038988,90063028
AFG3L2,10781,10939,18,-,1,3192,48332,17,12328943,12377275
AFM,170,173,4,+,1,1982,22256,15,74347462,74369718
AFMID,79053,125061,17,+,3,1680,20339,11,76183437,76203782
AFP,171,174,4,+,1,2017,19559,15,74301933,74321492
AFTPH,34101,54812,2,+,3,4030,68699,9,64751439,64820138
AGA,172,175,4,-,3,2063,11728,9,178351929,178363657
AGAP1,78292,116987,2,+,2,4426,631384,18,236402736,237034120
AGAP11,78741,119385,10,+,1,3143,39462,12,88730498,88769960
AGAP2,78291,116986,12,-,2,4410,14990,18,58118994,58133984
AGAP3,78293,116988,7,+,2,2625,47298,14,150783826,150831124
AGAP4,78733,119016,10,-,1,2424,21871,7,46321050,46342921
AGAP5,168623,729092,10,-,1,2418,23521,8,75434033,75457554
AGAP6,128567,414189,10,+,1,2764,22181,8,51748078,51770259
AGAP7,169956,653268,10,-,1,2413,22165,7,51464162,51486327
AGAP8,182304,728404,10,-,1,2413,21847,7,51224688,51246535
AGAP9,NA,NA,10,+,2,2379,21783,8,47703784,47725567
AGBL1,78954,123624,15,+,1,3469,887041,24,86685242,87572283
AGBL2,55644,79841,11,-,1,3373,55159,18,47681143,47736302
AGBL3,109845,340351,7,+,1,3516,149271,17,134671259,134820530
AGBL4,59061,84871,1,-,1,2974,1491099,14,48998527,50489626
AGBL5,37969,60509,2,+,2,2824,13456,13,27274491,27287946
AGER,174,177,6,-,2,1325,3277,10,32148746,32152023
AGFG1,3247,3267,2,+,4,8650,89050,13,228336888,228425938
AGFG2,3248,3268,7,+,1,4799,29009,12,100136834,100165843
AGGF1,34398,55109,5,+,1,4494,34848,14,76326210,76361058
AGK,35039,55750,7,+,1,2909,103131,16,141251078,141354209
AGL,175,178,1,+,6,7149,73534,34,100316045,100389579
AGMAT,55617,79814,1,-,1,2189,12453,7,15899152,15911605
AGPAT1,10407,10554,6,-,2,2142,8919,7,32135983,32144902
AGPAT2,10408,10555,9,-,2,1494,14316,6,139567595,139581911
AGPAT3,36173,56894,21,+,2,6486,92278,10,45315198,45407475
AGPAT4,36174,56895,6,-,1,7870,144050,9,161551057,161695107
AGPAT5,34615,55326,8,+,1,5511,53143,8,6565878,6619021
