Source Name	Comment[ENA_SAMPLE]	Material Type	Characteristics[organism part]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_LAYOUT]	Comment[ORIENTATION]	Comment[NOMINAL_LENGTH]	Protocol REF	Term Source REF	Performer	Assay Name	Technology Type	Comment[technical replicate group]	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[MD5]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[organism part]
fallopiantube_8b	ERS526289	organism part	fallopian tube	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fallopiantube_8b	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	211	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fallopiantube_8b	sequencing assay	group 101	ERX537326	2_140328_AC3TDEACXX_P973_111_2.fastq.gz	2_140328_AC3TDEACXX_P973_111_2.fastq.gz	ERR579150	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579150/ERR579150_2.fastq.gz	d3e10deb8fe197e9e6136223254455ea	202	102	fallopian tube
fallopiantube_8c	ERS526265	organism part	fallopian tube	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fallopiantube_8c	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	211	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fallopiantube_8c	sequencing assay	group 102	ERX537302	2_140328_AC3TDEACXX_P973_112_1.fastq.gz	2_140328_AC3TDEACXX_P973_112_1.fastq.gz	ERR579136	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579136/ERR579136_1.fastq.gz	21d5a1456382eeefadcd7635f111bc2a	202	102	fallopian tube
fallopiantube_8c	ERS526265	organism part	fallopian tube	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fallopiantube_8c	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	211	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fallopiantube_8c	sequencing assay	group 102	ERX537302	2_140328_AC3TDEACXX_P973_112_2.fastq.gz	2_140328_AC3TDEACXX_P973_112_2.fastq.gz	ERR579136	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579136/ERR579136_2.fastq.gz	2c778a8d29f5c3b69f7dfe590295bc08	202	102	fallopian tube
fallopiantube_8d	ERS526267	organism part	fallopian tube	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fallopiantube_8d	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	212	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fallopiantube_8d	sequencing assay	group 103	ERX537304	3_140328_AC3TDEACXX_P973_113_1.fastq.gz	3_140328_AC3TDEACXX_P973_113_1.fastq.gz	ERR579124	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579124/ERR579124_1.fastq.gz	f2094c4a3c0801d8b07daeb0d6e3b9a4	202	102	fallopian tube
fallopiantube_8d	ERS526267	organism part	fallopian tube	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fallopiantube_8d	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	212	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fallopiantube_8d	sequencing assay	group 103	ERX537304	3_140328_AC3TDEACXX_P973_113_2.fastq.gz	3_140328_AC3TDEACXX_P973_113_2.fastq.gz	ERR579124	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579124/ERR579124_2.fastq.gz	beafcd94dc2b7a72bd721add81ad447c	202	102	fallopian tube
fallopiantube_8e	ERS526280	organism part	fallopian tube	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fallopiantube_8e	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	217	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fallopiantube_8e	sequencing assay	group 104	ERX537317	3_140328_AC3TDEACXX_P973_114_1.fastq.gz	3_140328_AC3TDEACXX_P973_114_1.fastq.gz	ERR579134	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579134/ERR579134_1.fastq.gz	cb4c9dafae36c6cbc6d1523ac9d6c7f2	202	102	fallopian tube
fallopiantube_8e	ERS526280	organism part	fallopian tube	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fallopiantube_8e	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	217	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fallopiantube_8e	sequencing assay	group 104	ERX537317	3_140328_AC3TDEACXX_P973_114_2.fastq.gz	3_140328_AC3TDEACXX_P973_114_2.fastq.gz	ERR579134	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579134/ERR579134_2.fastq.gz	7e30fed032a5862c77ea7d755f1fa42b	202	102	fallopian tube
fat_8a	ERS526271	organism part	adipose tissue	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fat_8a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	207	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fat_8a	sequencing assay	group 105	ERX537308	6_140328_AC3TDEACXX_P973_138_1.fastq.gz	6_140328_AC3TDEACXX_P973_138_1.fastq.gz	ERR579146	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579146/ERR579146_1.fastq.gz	070ed9479e54a0af2c2acf20e0a3d30b	202	102	adipose tissue
fat_8a	ERS526271	organism part	adipose tissue	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fat_8a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	207	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fat_8a	sequencing assay	group 105	ERX537308	6_140328_AC3TDEACXX_P973_138_2.fastq.gz	6_140328_AC3TDEACXX_P973_138_2.fastq.gz	ERR579146	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579146/ERR579146_2.fastq.gz	35a9353b2a5dc62a8173678ffdce00be	202	102	adipose tissue
fat_8b	ERS526291	organism part	adipose tissue	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fat_8b	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	214	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fat_8b	sequencing assay	group 106	ERX537328	7_140328_AC3TDEACXX_P973_140_1.fastq.gz	7_140328_AC3TDEACXX_P973_140_1.fastq.gz	ERR579122	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579122/ERR579122_1.fastq.gz	67404fc03371e1196c9525c612ae6b4f	202	102	adipose tissue
fat_8b	ERS526291	organism part	adipose tissue	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fat_8b	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	214	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fat_8b	sequencing assay	group 106	ERX537328	7_140328_AC3TDEACXX_P973_140_2.fastq.gz	7_140328_AC3TDEACXX_P973_140_2.fastq.gz	ERR579122	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579122/ERR579122_2.fastq.gz	c0df485c49a904f6a69c2cee2acd4c1e	202	102	adipose tissue
ovary_8a	ERS526275	organism part	animal ovary	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	ovary_8a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	215	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	ovary_8a	sequencing assay	group 109	ERX537312	4_140328_AC3TDEACXX_P973_115_1.fastq.gz	4_140328_AC3TDEACXX_P973_115_1.fastq.gz	ERR579132	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579132/ERR579132_1.fastq.gz	c417692580b419da33656f4d6bc19d55	202	102	animal ovary
ovary_8a	ERS526275	organism part	animal ovary	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	ovary_8a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	215	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	ovary_8a	sequencing assay	group 109	ERX537312	4_140328_AC3TDEACXX_P973_115_2.fastq.gz	4_140328_AC3TDEACXX_P973_115_2.fastq.gz	ERR579132	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579132/ERR579132_2.fastq.gz	f114219ae433d247117b77e199f19b09	202	102	animal ovary
rectum_8a	ERS526269	organism part	rectum	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	rectum_8a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	204	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	rectum_8a	sequencing assay	group 111	ERX537306	8_140328_AC3TDEACXX_P973_142_1.fastq.gz	8_140328_AC3TDEACXX_P973_142_1.fastq.gz	ERR579147	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579147/ERR579147_1.fastq.gz	f8a819c77a78a2bd2ff37b30dd244550	202	102	rectum
rectum_8a	ERS526269	organism part	rectum	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	rectum_8a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	204	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	rectum_8a	sequencing assay	group 111	ERX537306	8_140328_AC3TDEACXX_P973_142_2.fastq.gz	8_140328_AC3TDEACXX_P973_142_2.fastq.gz	ERR579147	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579147/ERR579147_2.fastq.gz	e0ca6c0ed4d7d35b265d4e7b5344e0a6	202	102	rectum
rectum_8b	ERS526282	organism part	rectum	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	rectum_8b	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	208	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	rectum_8b	sequencing assay	group 112	ERX537319	8_140328_AC3TDEACXX_P973_143_1.fastq.gz	8_140328_AC3TDEACXX_P973_143_1.fastq.gz	ERR579127	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579127/ERR579127_1.fastq.gz	769d02535c7122caf99b9b1e3176174e	202	102	rectum
rectum_8b	ERS526282	organism part	rectum	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	rectum_8b	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	208	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	rectum_8b	sequencing assay	group 112	ERX537319	8_140328_AC3TDEACXX_P973_143_2.fastq.gz	8_140328_AC3TDEACXX_P973_143_2.fastq.gz	ERR579127	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579127/ERR579127_2.fastq.gz	2d943a32336e6516a10566e93b5d7ddb	202	102	rectum
rectum_8c	ERS526261	organism part	rectum	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	rectum_8c	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	209	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	rectum_8c	sequencing assay	group 113	ERX537298	1_140328_BC3UHRACXX_P973_144_1.fastq.gz	1_140328_BC3UHRACXX_P973_144_1.fastq.gz	ERR579140	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579140/ERR579140_1.fastq.gz	250cb82ed34a2658ef2c104afdaa7835	202	102	rectum
rectum_8c	ERS526261	organism part	rectum	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	rectum_8c	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	209	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	rectum_8c	sequencing assay	group 113	ERX537298	1_140328_BC3UHRACXX_P973_144_2.fastq.gz	1_140328_BC3UHRACXX_P973_144_2.fastq.gz	ERR579140	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579140/ERR579140_2.fastq.gz	f761a757d3d6f32ecff3e76485a9d417	202	102	rectum
rectum_8d	ERS526263	organism part	rectum	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	rectum_8d	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	210	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	rectum_8d	sequencing assay	group 114	ERX537300	2_140328_BC3UHRACXX_P973_147_1.fastq.gz	2_140328_BC3UHRACXX_P973_147_1.fastq.gz	ERR579151	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579151/ERR579151_1.fastq.gz	52607c245e4d2796598fa2842aa7aeda	202	102	rectum
rectum_8d	ERS526263	organism part	rectum	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	rectum_8d	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	210	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	rectum_8d	sequencing assay	group 114	ERX537300	2_140328_BC3UHRACXX_P973_147_2.fastq.gz	2_140328_BC3UHRACXX_P973_147_2.fastq.gz	ERR579151	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579151/ERR579151_2.fastq.gz	a34a9667d6afacc50f1df2ac957dbe25	202	102	rectum
skeletalmuscle_a	ERS526262	organism part	skeletal muscle	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	skeletalmuscle_a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	149	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	skeletalmuscle_a	sequencing assay	group 115	ERX537299	3_120727_BD1591ACXX_172_index12_SQ_1.fastq.gz	3_120727_BD1591ACXX_172_index12_SQ_1.fastq.gz	ERR579143	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579143/ERR579143_1.fastq.gz	9ccb561dfa29078c99c4c1d603952f34	202	102	skeletal muscle
skeletalmuscle_a	ERS526262	organism part	skeletal muscle	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	skeletalmuscle_a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	149	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	skeletalmuscle_a	sequencing assay	group 115	ERX537299	3_120727_BD1591ACXX_172_index12_SQ_2.fastq.gz	3_120727_BD1591ACXX_172_index12_SQ_2.fastq.gz	ERR579143	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579143/ERR579143_2.fastq.gz	bc972ff58d0b7a9b61033338c837f92f	202	102	skeletal muscle
skeletalmuscle_a	ERS526262	organism part	skeletal muscle	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	skeletalmuscle_a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	149	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	skeletalmuscle_a	sequencing assay	group 115	ERX537299	3_120823_BD16GRACXX_172_index12_1.fastq.gz	3_120823_BD16GRACXX_172_index12_1.fastq.gz	ERR579142	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579142/ERR579142_1.fastq.gz	a7f0c11dcadb81a28d105c52ec2a5bcb	202	102	skeletal muscle
skeletalmuscle_a	ERS526262	organism part	skeletal muscle	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	skeletalmuscle_a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	149	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	skeletalmuscle_a	sequencing assay	group 115	ERX537299	3_120823_BD16GRACXX_172_index12_2.fastq.gz	3_120823_BD16GRACXX_172_index12_2.fastq.gz	ERR579142	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579142/ERR579142_2.fastq.gz	cefe944fc77735bf2f8a0b793e8f135f	202	102	skeletal muscle
skeletalmuscle_b	ERS526285	organism part	skeletal muscle	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	skeletalmuscle_b	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	146	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	skeletalmuscle_b	sequencing assay	group 116	ERX537322	2_120727_AD14B4ACXX_217_index6_SQ_1.fastq.gz	2_120727_AD14B4ACXX_217_index6_SQ_1.fastq.gz	ERR579152	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579152/ERR579152_1.fastq.gz	134a93da99a0f102dda52a5f6ddb3dc9	202	102	skeletal muscle
skeletalmuscle_b	ERS526285	organism part	skeletal muscle	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	skeletalmuscle_b	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	146	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	skeletalmuscle_b	sequencing assay	group 116	ERX537322	2_120727_AD14B4ACXX_217_index6_SQ_2.fastq.gz	2_120727_AD14B4ACXX_217_index6_SQ_2.fastq.gz	ERR579152	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579152/ERR579152_2.fastq.gz	cd8ce711c351b81a7702bd62278039aa	202	102	skeletal muscle
