tumor_id,tumor_name,block_name,specimen_name,rna_well,rna_integrity_number,structure_id,structure_acronym,structure_name,rnaseq_total_reads,rnaseq_percent_reads_aligned_to_mrna,rnaseq_percent_reads_aligned_to_ncrna,rnaseq_percent_reads_aligned_to_genome_only,files_contents,bam_download_link,bai_download_link
705810,W10-1-1,W10-1-1-E.2,W10-1-1-E.2.03,306124454,7.1,309780896,CThbv-POSTN,"Hyperplastic blood vessels in cellular tumor sampled by high expression of gene POSTN",37324336,43.2,3.63,11.8,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934427,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934429
705859,W11-1-1,W11-1-1-D.1,W11-1-1-D.1.01,301287634,7.9,309780846,CTpan-reference-histology,"Pseudopalisading cells around necrosis sampled by reference histology",30916398,37.3,2.28,8.92,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312924441,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312924443
708983,W13-1-1,W13-1-1-A,W13-1-1-A.03,305461084,5,309780888,CThbv-IGFBP2,"Hyperplastic blood vessels in cellular tumor sampled by high expression of gene IGFBP2",36855384,27.1,2.85,11.5,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934263,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934265
703493,W2-1-1,W2-1-1-D.1,W2-1-1-D.1.01,300629344,8.8,309780592,CT-reference-histology,"Cellular Tumor sampled by reference histology",32446393,53.3,2.35,9.41,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312919443,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312919445
710262,W26-1-1,W26-1-1-F,W26-1-1-F.03,301626685,8.2,309780592,CT-reference-histology,"Cellular Tumor sampled by reference histology",28028628,46.4,2.25,7.23,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312925215,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312925217
711547,W31-1-1,W31-1-1-G,W31-1-1-G.03,301287706,8,298764274,LE-reference-histology,"Leading Edge sampled by reference histology",27091774,44.8,2.19,9.29,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312925488,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312925490
705859,W11-1-1,W11-1-1-G.2,W11-1-1-G.2.01,301287644,8.3,309780906,CTmvp-reference-histology,"Microvascular proliferation sampled by reference histology",34325240,40.4,2.41,8.1,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312926030,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312926032
705704,W3-1-1,W3-1-1-C.2,W3-1-1-C.2.03,304357597,7.3,309780896,CThbv-POSTN,"Hyperplastic blood vessels in cellular tumor sampled by high expression of gene POSTN",57587872,27.3,3.09,14.9,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312916453,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312916451
711645,W34-1-1,W34-1-1-D,W34-1-1-D.03,305273038,8.1,309780874,CTpan-TNFAIP3,"Pseudopalisading cells around necrosis sampled by high expression of gene TNFAIP3",44136098,37.3,2.5,12,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934483,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934485
268091690,W22-2-1,W22-2-1-A,W22-2-1-A.03,305461117,6.5,309780830,CTpnz-PI3,"Perinecrotic zone sampled by high expression of gene PI3",39004341,40.9,2.46,8.12,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312915874,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312915876
705803,W9-1-1,W9-1-1-C.2,W9-1-1-C.2.04,306124448,4.5,309780896,CThbv-POSTN,"Hyperplastic blood vessels in cellular tumor sampled by high expression of gene POSTN",40660273,22.9,3.1,16.1,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934388,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934390
268091649,W53-1-1,W53-1-1-A,W53-1-1-A.03,304357571,6,309780900,CThbv-TGFBR2,"Hyperplastic blood vessels in cellular tumor sampled by high expression of gene TGFBR2",35389120,45.6,2.87,6.54,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312909805,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312909807
268091649,W53-1-1,W53-1-1-B,W53-1-1-B.03,304357514,5.6,309780854,CTpan-ID2,"Pseudopalisading cells around necrosis sampled by high expression of gene ID2",31995982,41.3,3.47,8.2,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312899258,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312899260
277805915,W20-2-1,W20-2-1-I,W20-2-1-I.03,304950376,6,309780870,CTpan-PROM1,"Pseudopalisading cells around necrosis sampled by high expression of gene PROM1",39069560,31.1,4.59,11.3,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312912829,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312912831
703493,W2-1-1,W2-1-1-N.2,W2-1-1-N.2.01,300629384,7.7,309780906,CTmvp-reference-histology,"Microvascular proliferation sampled by reference histology",37354317,36.7,2.1,8.1,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312923879,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312923881
113597519,W42-1-1,W42-1-1-G,W42-1-1-G.03,304703661,6.9,309780604,CT-DANCR,"Cellular Tumor sampled by high expression of gene DANCR",33196191,46.6,2.38,9.3,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312914944,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312914946
292163427,W55-1-1,W55-1-1-E,W55-1-1-E.03,302264008,8.4,309780906,CTmvp-reference-histology,"Microvascular proliferation sampled by reference histology",34178744,39.7,2.84,11.7,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312930247,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312930249
705758,W5-1-1,W5-1-1-N.2,W5-1-1-N.2.01,300629426,7.9,309780846,CTpan-reference-histology,"Pseudopalisading cells around necrosis sampled by reference histology",29708954,31.9,3.63,14.9,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312920958,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312920960
705727,W4-1-1,W4-1-1-B.1,W4-1-1-B.1.03,305952558,7.4,309780648,CT-control-CD44,"Cellular Tumor sampled by low expression of gene CD44",39033136,42.9,2.88,10.6,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312930303,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312930305
709529,W21-1-1,W21-1-1-B,W21-1-1-B.06,305461105,6.4,309780830,CTpnz-PI3,"Perinecrotic zone sampled by high expression of gene PI3",44502999,39.3,2.65,9.56,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934991,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934993
268091649,W53-1-1,W53-1-1-A,W53-1-1-A.03,304703663,8.1,309780704,CT-control-MET-TGFBR2,"Cellular Tumor sampled by low expression of genes MET and TGFBR2",20456713,48.3,2.04,3.75,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312912502,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312912504
703393,W1-1-2,W1-1-2-H.2,W1-1-2-H.2.01,300173642,8.3,309780846,CTpan-reference-histology,"Pseudopalisading cells around necrosis sampled by reference histology",63428451,49.3,2.94,11.3,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312926625,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312926627
712737,W40-1-1,W40-1-1-J,W40-1-1-J.03,305272990,6.4,309780612,CT-ID1,"Cellular Tumor sampled by high expression of gene ID1",48910494,37,2.46,11.5,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312918833,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312918835
703393,W1-1-2,W1-1-2-V.1,W1-1-2-V.1.01,300629323,6.5,298764292,IT-reference-histology,"Infiltrating Tumor sampled by reference histology",35718022,25.6,2.59,15.2,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312920845,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312920847
705803,W9-1-1,W9-1-1-K.2,W9-1-1-K.2.01,301287740,5.1,309780846,CTpan-reference-histology,"Pseudopalisading cells around necrosis sampled by reference histology",27814292,32.7,3.6,16.9,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312922354,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312922356
277805915,W20-2-1,W20-2-1-L,W20-2-1-L.03,304950407,7.7,309780640,CT-POSTN,"Cellular Tumor sampled by high expression of gene POSTN",35280099,52.3,2.95,3.65,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312913306,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312913308
712737,W40-1-1,W40-1-1-J,W40-1-1-J.03,305272992,,309780896,CThbv-POSTN,"Hyperplastic blood vessels in cellular tumor sampled by high expression of gene POSTN",40167656,38.7,2.61,8.53,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312916020,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312916022
705711,W7-1-1,W7-1-1-A.2,W7-1-1-A.2.03,304950263,7.6,309780612,CT-ID1,"Cellular Tumor sampled by high expression of gene ID1",51712864,34.7,2.64,9.68,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312910340,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312910342
705727,W4-1-1,W4-1-1-B.1,W4-1-1-B.1.03,305952560,7.5,309780600,CT-CD44,"Cellular Tumor sampled by high expression of gene CD44",30089143,36.9,2.56,10.3,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312930225,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312930227
277805915,W20-2-1,W20-2-1-H,W20-2-1-H.03,304950372,8.1,309780628,CT-PDGFRA,"Cellular Tumor sampled by high expression of gene PDGFRA",44107901,36.9,3.33,9.58,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312915579,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312915581
709564,W22-1-1,W22-1-1-F,W22-1-1-F.03,304950300,6,309780792,CT-control-TGFBR2,"Cellular Tumor sampled by low expression of gene TGFBR2",39343488,42.4,2.25,8.51,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312899300,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312899302
710684,W29-1-1,W29-1-1-B,W29-1-1-B.03,304357587,5.7,309780918,CTmvp-TGFBR2,"Microvascular proliferation sampled by high expression of gene TGFBR2",43799769,45.1,2.62,5.99,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312912945,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312912947
705727,W4-1-1,W4-1-1-A.1,W4-1-1-A.1.03,305952554,5.7,309780736,CT-control-PI3,"Cellular Tumor sampled by low expression of gene PI3",51606324,19.8,4.39,17.7,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934252,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934250
113597519,W42-1-1,W42-1-1-J,W42-1-1-J.03,305272986,7.5,309780728,CT-control-PDPN-PI3,"Cellular Tumor sampled by low expression of genes PDPN and PI3",35058043,26.6,2.42,9.86,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312916519,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312916521
703393,W1-1-2,W1-1-2-H.2,W1-1-2-H.2.01,300173640,8.2,298764292,IT-reference-histology,"Infiltrating Tumor sampled by reference histology",49193914,38.5,2.43,14.4,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312920795,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312920797
286837173,W54-1-1,W54-1-1-C,W54-1-1-C.03,304950411,6.1,309780604,CT-DANCR,"Cellular Tumor sampled by high expression of gene DANCR",45538805,42.3,2.72,10.4,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312914682,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312914684
705704,W3-1-1,W3-1-1-B.2,W3-1-1-B.2.03,303748254,7.1,309780874,CTpan-TNFAIP3,"Pseudopalisading cells around necrosis sampled by high expression of gene TNFAIP3",32624978,17.6,3.13,17.6,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934200,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934202
712737,W40-1-1,W40-1-1-J,W40-1-1-J.03,305272798,6.8,309780676,CT-control-ID1-POSTN,"Cellular Tumor sampled by low expression of genes ID1 and POSTN",34950545,43.2,1.92,7.36,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312917230,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312917234
705803,W9-1-1,W9-1-1-C.2,W9-1-1-C.2.04,306124422,7.9,309780784,CT-control-PROM1-POSTN,"Cellular Tumor sampled by low expression of genes PROM1 and POSTN",36894929,39,2.67,9.5,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312931457,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312931459
703493,W2-1-1,W2-1-1-N.2,W2-1-1-N.2.01,300629382,7.3,298764292,IT-reference-histology,"Infiltrating Tumor sampled by reference histology",44588167,31.1,2.19,11.9,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312921521,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312921523
703393,W1-1-2,W1-1-2-V.1,W1-1-2-V.1.01,300629321,7.1,309780846,CTpan-reference-histology,"Pseudopalisading cells around necrosis sampled by reference histology",49162103,43.4,2.81,7.89,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312922346,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312922348
277805915,W20-2-1,W20-2-1-H,W20-2-1-H.03,304950370,7.4,309780716,CT-control-PDGFRA,"Cellular Tumor sampled by low expression of gene PDGFRA",40044981,50.4,2.84,7.17,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312914100,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312914102
705758,W5-1-1,W5-1-1-O.2,W5-1-1-O.2.03,300629434,8.2,309780846,CTpan-reference-histology,"Pseudopalisading cells around necrosis sampled by reference histology",24289013,31.2,3.14,15.3,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934408,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934410
705704,W3-1-1,W3-1-1-E.1,W3-1-1-E.1.04,306124418,7.6,309780720,CT-control-PDPN,"Cellular Tumor sampled by low expression of gene PDPN",41311054,22.7,2.88,16.3,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312931153,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312931155
113597988,W43-1-1,W43-1-1-J,W43-1-1-J.03,304950259,6.4,309780640,CT-POSTN,"Cellular Tumor sampled by high expression of gene POSTN",85051573,28.3,3.17,15.5,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312917228,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312917226
711653,W36-1-1,W36-1-1-E,W36-1-1-E.03,303748344,8.2,309780838,CTpnz-TNFAIP3,"Perinecrotic zone sampled by high expression of gene TNFAIP3",29170113,51.8,2.92,6.04,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312899124,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312899126
705758,W5-1-1,W5-1-1-O.1,W5-1-1-O.1.03,300629430,9,298764292,IT-reference-histology,"Infiltrating Tumor sampled by reference histology",28046135,49.6,2.18,9.64,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312923318,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312923320
711560,W32-1-1,W32-1-1-E,W32-1-1-E.04,306124412,7.6,309780854,CTpan-ID2,"Pseudopalisading cells around necrosis sampled by high expression of gene ID2",29016400,41.1,2.67,11.4,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312930591,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312930593
705711,W7-1-1,W7-1-1-A.2,W7-1-1-A.2.03,305461119,7.8,309780672,CT-control-ID1-PDPN,"Cellular Tumor sampled by low expression of genes ID1 and PDPN",44553293,39.4,2.44,8.07,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312915901,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312915903
711547,W31-1-1,W31-1-1-E,W31-1-1-E.03,305273026,7.2,309780600,CT-CD44,"Cellular Tumor sampled by high expression of gene CD44",34681919,38.1,2.49,9.06,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312916473,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312916475
710659,W28-1-1,W28-1-1-A,W28-1-1-A.03,304477575,7.8,309780612,CT-ID1,"Cellular Tumor sampled by high expression of gene ID1",21435119,47.1,2.34,4.58,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312898687,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312898689
277857081,W27-2-1,W27-2-1-I,W27-2-1-I.03,304950380,6.2,309780724,CT-control-PDPN-HIF1A,"Cellular Tumor sampled by low expression of genes PDPN and HIF1A",55145510,27.5,3.49,13.3,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312917626,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312917624
705735,W6-1-1,W6-1-1-C.2,W6-1-1-C.2.06,305273042,7.7,309780830,CTpnz-PI3,"Perinecrotic zone sampled by high expression of gene PI3",40023569,49.8,2.1,5.59,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312918125,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312918127
711560,W32-1-1,W32-1-1-E,W32-1-1-E.04,306124511,7.3,309780684,CT-control-ID2,"Cellular Tumor sampled by low expression of gene ID2",45926842,35.1,2.57,14.6,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934287,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934289
705735,W6-1-1,W6-1-1-C.2,W6-1-1-C.2.06,305461068,5.8,309780900,CThbv-TGFBR2,"Hyperplastic blood vessels in cellular tumor sampled by high expression of gene TGFBR2",39584418,35.6,2.56,8.62,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312918841,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312918843
711645,W34-1-1,W34-1-1-G,W34-1-1-G.03,305272792,6.8,309780772,CT-control-POSTN-TGFBR2,"Cellular Tumor sampled by low expression of genes POSTN and TGFBR2",41560966,27.9,1.97,13.3,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312918301,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312918303
710262,W26-1-1,W26-1-1-E,W26-1-1-E.03,301626683,7.8,309780846,CTpan-reference-histology,"Pseudopalisading cells around necrosis sampled by reference histology",28271110,47.3,2.71,8.53,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312925947,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312925949
703393,W1-1-2,W1-1-2-N.1,W1-1-2-N.1.01,300173646,,309780906,CTmvp-reference-histology,"Microvascular proliferation sampled by reference histology",35079999,32.1,3.28,12.8,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312920928,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312920930
709556,W16-1-1,W16-1-1-D,W16-1-1-D.03,304477571,6.5,309780914,CTmvp-ITGA6,"Microvascular proliferation sampled by high expression of gene ITGA6",36690008,38.1,2.72,6.51,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312899115,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312899117
710684,W29-1-1,W29-1-1-B,W29-1-1-B.03,304357589,5.3,309780772,CT-control-POSTN-TGFBR2,"Cellular Tumor sampled by low expression of genes POSTN and TGFBR2",40447371,32.8,2.13,9.34,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312910456,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312910458
705803,W9-1-1,W9-1-1-J.2,W9-1-1-J.2.01,302262298,7.4,309780846,CTpan-reference-histology,"Pseudopalisading cells around necrosis sampled by reference histology",32359582,35.3,3.1,13.6,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312927409,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312927411
709556,W16-1-1,W16-1-1-F,W16-1-1-F.03,303748336,7.3,309780900,CThbv-TGFBR2,"Hyperplastic blood vessels in cellular tumor sampled by high expression of gene TGFBR2",32905177,37.8,3.01,6.48,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312898991,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312898989
705859,W11-1-1,W11-1-1-E.2,W11-1-1-E.2.03,303748264,8,309780796,CT-control-TNFAIP3,"Cellular Tumor sampled by low expression of gene TNFAIP3",30588399,31.5,1.98,8.59,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312898664,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312898666
