source	source_desc	source_id	target	target_desc	target_id	weight
EGFR	P00533	1956	catalytic step 2 spliceosome	GO:0014704	na	1.0
SERPINA1	P01009	5265	voltage-gated potassium channel complex	GO:0014704	na	1.0
LDLR	P01130	3949	specific granule membrane	GO:0014704	na	1.0
TGFA	P01135	7039	tertiary granule membrane	GO:0014704	na	1.0
TGFB1	P01137	7040	lysosomal membrane	GO:0014704	na	1.0
HLA-H	P01893	3136	intracellular ribonucleoprotein complex	GO:0014704	na	1.0
HLA-DRA	P01903	3122	nuclear speck	GO:0014704	na	1.0
HLA-DQA2	P01906	3118	cell-cell adherens junction	GO:0014704	na	1.0
HLA-DQA1	P01909	3117	basal plasma membrane	GO:0014704	na	1.0
HLA-DQB1	P01920	3119	lateral plasma membrane	GO:0014704	na	1.0
APOA1	P02647	335	phagocytic vesicle membrane	GO:0014704	na	1.0
APOE	P02649	348	SNARE complex	GO:0014704	na	1.0
FGA	P02671	2243	mitochondrial outer membrane	GO:0014704	na	1.0
FGB	P02675	2244	trans-Golgi network membrane	GO:0014704	na	1.0
FGG	P02679	2266	secretory granule	GO:0014704	na	1.0
TFRC	P02786	7037	presynaptic membrane	GO:0014704	na	1.0
TF	P02787	7018	secretory granule lumen	GO:0014704	na	1.0
LTF	P02788	4057	ficolin-1-rich granule lumen	GO:0014704	na	1.0
ALDOA	P04075	226	receptor complex	GO:0014704	na	1.0
ANXA1	P04083	301	clathrin-coated vesicle	GO:0014704	na	1.0
APOB	P04114	338	platelet alpha granule lumen	GO:0014704	na	1.0
THY1	P04216	7070	vesicle	GO:0014704	na	1.0
CD74	P04233	972	cytoplasmic side of plasma membrane	GO:0014704	na	1.0
GAPDH	P04406	2597	endoplasmic reticulum lumen	GO:0014704	na	1.0
HLA-DPB1	P04440	3115	specific granule lumen	GO:0014704	na	1.0
TP53	P04637	7157	endocytic vesicle membrane	GO:0014704	na	1.0
APP	P05067	351	nuclear membrane	GO:0014704	na	1.0
ITGB3	P05106	3690	microtubule	GO:0014704	na	1.0
ITGB2	P05107	3689	transport vesicle	GO:0014704	na	1.0
SERPINA5	P05154	5104	endocytic vesicle	GO:0014704	na	1.0
HLA-DQB2	P05538	3120	azurophil granule membrane	GO:0014704	na	1.0
ITGB1	P05556	3688	apical plasma membrane	GO:0014704	na	1.0
GSN	P06396	2934	cortical actin cytoskeleton	GO:0014704	na	1.0
CDK1	P06493	983	extracellular vesicle	GO:0014704	na	1.0
ATP5B	P06576	506	actin filament	GO:0014704	na	1.0
S100A9	P06702	6280	ruffle	GO:0014704	na	1.0
APOA4	P06727	337	clathrin-coated pit	GO:0014704	na	1.0
ITGAV	P06756	3685	kinetochore	GO:0014704	na	1.0
ANXA2	P07355	302	cytoplasmic ribonucleoprotein granule	GO:0014704	na	1.0
TUBB	P07437	203068	neuron projection	GO:0014704	na	1.0
HSP90AA1	P07900	3320	ER to Golgi transport vesicle membrane	GO:0014704	na	1.0
LAMB1	P07942	3912	endoplasmic reticulum-Golgi intermediate compartment membrane	GO:0014704	na	1.0
LYN	P07948	4067	synaptic vesicle	GO:0014704	na	1.0
THBS1	P07996	7057	cytoplasmic vesicle membrane	GO:0014704	na	1.0
RHO	P08100	6010	chromatin	GO:0014704	na	1.0
CD55	P08174	1604	late endosome	GO:0014704	na	1.0
HSP90AB1	P08238	3326	dendritic spine	GO:0014704	na	1.0
MME	P08473	4311	dendrite	GO:0014704	na	1.0
CD63	P08962	967	nuclear matrix	GO:0014704	na	1.0
GSTP1	P09211	2950	recycling endosome membrane	GO:0014704	na	1.0
VIL1	P09327	7429	postsynaptic membrane	GO:0014704	na	1.0
SPARC	P09486	6678	ficolin-1-rich granule membrane	GO:0014704	na	1.0
CTSH	P09668	1512	integral component of lumenal side of endoplasmic reticulum membrane	GO:0014704	na	1.0
FURIN	P09958	5045	neuronal cell body	GO:0014704	na	1.0
UBB	P0CG47	7314	postsynaptic density	GO:0014704	na	1.0
UBC	P0CG48	7316	clathrin-coated vesicle membrane	GO:0014704	na	1.0
HSPA1A	P0DMV8	3303	clathrin-coated endocytic vesicle membrane	GO:0014704	na	1.0
HSPA1B	P0DMV9	3304	apical part of cell	GO:0014704	na	1.0
MAPT	P10636	4137	transport vesicle membrane	GO:0014704	na	1.0
HSPD1	P10809	3329	early endosome membrane	GO:0014704	na	1.0
CLU	P10909	1191	caveola	GO:0014704	na	1.0
HSPA5	P11021	3309	PML body	GO:0014704	na	1.0
HSPA8	P11142	3312	phagocytic vesicle	GO:0014704	na	1.0
LAMP1	P11279	3916	intercalated disc	GO:0014704	na	1.0
DMD	P11532	1756				1.0
IGF2R	P11717	3482				1.0
PCNA	P12004	5111				1.0
TPR	P12270	7175				1.0
ACTN1	P12814	87				1.0
CDH1	P12830	999				1.0
SRC	P12931	6714				1.0
XRCC6	P12956	2547				1.0
LAMP2	P13473	3920				1.0
CFTR	P13569	1080				1.0
EEF2	P13639	1938				1.0
CEACAM1	P13688	634				1.0
HLA-E	P13747	3133				1.0
HLA-DRB4	P13762	3126				1.0
LCP1	P13796	3936				1.0
CD59	P13987	966				1.0
PKM	P14618	5315				1.0
HSP90B1	P14625	7184				1.0
SNRPB	P14678	6628				1.0
JUP	P14923	3728				1.0
B4GALT1	P15291	2683				1.0
EZR	P15311	7430				1.0
FOLR1	P15328	2348				1.0
KCNA2	P16389	3737				1.0
CD36	P16671	948				1.0
GJA1	P17302	2697				1.0
PRKACA	P17612	5566				1.0
CAPN2	P17655	824				1.0
LGALS3	P17931	3958				1.0
PSMC3	P17980	5702				1.0
VCL	P18206	7414				1.0
CDH2	P19022	1000				1.0
VCAM1	P19320	7412				1.0
SLC9A1	P19634	6548				1.0
HLA-DPA1	P20036	3113				1.0
RAB3A	P20336	5864				1.0
RAB5A	P20339	5868				1.0
RAB6A	P20340	5870				1.0
ZP3	P21754	7784				1.0
FGFR2	P21802	2263				1.0
RYR1	P21817	6261				1.0
UBA1	P22314	7317				1.0
NME2	P22392	4831				1.0
HNRNPA2B1	P22626	3181				1.0
CA4	P22748	762				1.0
RPS3	P23396	6188				1.0
CRHBP	P24387	1393				1.0
APC	P25054	324				1.0
FAS	P25445	355				1.0
ITGA3	P26006	3675				1.0
MSN	P26038	4478				1.0
ZFP36	P26651	7538				1.0
STOM	P27105	2040				1.0
MAPK3	P27361	5595				1.0
ATP6V0C	P27449	527				1.0
APEX1	P27695	328				1.0
CALR	P27797	811				1.0
MAPK1	P28482	5594				1.0
CD34	P28906	947				1.0
NOS1	P29475	4842				1.0
AQP1	P29972	358				1.0
PRDX5	P30044	25824				1.0
CORO1A	P31146	11151				1.0
CTNNB1	P35222	1499				1.0
PHB	P35232	5245				1.0
RDX	P35241	5962				1.0
MYH9	P35579	4627				1.0
MYH10	P35580	4628				1.0
ACTN2	P35609	88				1.0
PSMC2	P35998	5701				1.0
ARL2	P36404	402				1.0
MAP2K2	P36507	5605				1.0
NUP62	P37198	23636				1.0
SNCA	P37840	6622				1.0
BRCA1	P38398	672				1.0
GRIA1	P42261	2890				1.0
MTOR	P42345	2475				1.0
HTT	P42858	3064				1.0
ECE1	P42892	1889				1.0
PAFAH1B1	P43034	5048				1.0
CBX5	P45973	23468				1.0
ATRX	P46100	546				1.0
NOTCH1	P46531	4851				1.0
RPS9	P46781	6203				1.0
NEDD4	P46934	4734				1.0
IQGAP1	P46940	8826				1.0
CSNK1D	P48730	1453				1.0
SLC11A2	P49281	4891				1.0
ARRB1	P49407	408				1.0
CENPF	P49454	1063				1.0
TMED10	P49755	10972				1.0
PSEN1	P49768	5663				1.0
RANBP2	P49792	5903				1.0
PSEN2	P49810	5664				1.0
LIG4	P49917	3981				1.0
MMP14	P50281	4323				1.0
DNM2	P50570	1785				1.0
CCT8	P50990	10694				1.0
ANXA11	P50995	311				1.0
RAB7A	P51149	7879				1.0
RAB13	P51153	5872				1.0
RAB27A	P51159	5873				1.0
CAV2	P51636	858				1.0
KCNQ1	P51787	3784				1.0
CLCN3	P51790	1182				1.0
VAMP7	P51809	6845				1.0
NUP98	P52948	4928				1.0
PLK1	P53350	5347				1.0
COPB1	P53618	1315				1.0
CTSC	P53634	1075				1.0
CLTCL1	P53675	8218				1.0
BLM	P54132	641				1.0
ATXN3	P54252	4287				1.0
VCP	P55072	7415				1.0
SEC13	P55735	6396				1.0
BACE1	P56817	23621				1.0
STX17	P56962	55014				1.0
PTEN	P60484	5728				1.0
ACTB	P60709	60				1.0
RAC3	P60763	5881				1.0
SNAP25	P60880	6616				1.0
PSMA6	P60900	5687				1.0
CDC42	P60953	998				1.0
RAB8A	P61006	4218				1.0
RAB10	P61026	10890				1.0
RAB14	P61106	51552				1.0
RPS3A	P61247	6189				1.0
RHOA	P61586	387				1.0
B2M	P61769	567				1.0
AP1S1	P61966	1174				1.0
RPS7	P62081	6201				1.0
PSMC5	P62195	5705				1.0
SNRPE	P62304	6635				1.0
SNRPF	P62306	6636				1.0
SNRPG	P62308	6637				1.0
SNRPD1	P62314	6632				1.0
SNRPD2	P62316	6633				1.0
SNRPD3	P62318	6634				1.0
ARF6	P62330	382				1.0
RAB11A	P62491	8766				1.0
RPS4X	P62701	6191				1.0
RPS6	P62753	6194				1.0
RAN	P62826	5901				1.0
RBX1	P62877	9978				1.0
RPS27A	P62979	6233				1.0
UBA52	P62987	7311				1.0
GRB2	P62993	2885				1.0
RAC1	P63000	5879				1.0
VAMP2	P63027	6844				1.0
GNAI1	P63096	2770				1.0
YWHAZ	P63104	7534				1.0
SNRPN	P63162	6638				1.0
SUMO1	P63165	7341				1.0
DYNLL1	P63167	8655				1.0
RACK1	P63244	10399				1.0
ACTG1	P63261	71				1.0
YBX1	P67809	4904				1.0
CSNK2B	P67870	1460				1.0
ACTC1	P68032	70				1.0
EEF1A1	P68104	1915				1.0
ACTA1	P68133	58				1.0
CXADR	P78310	1525				1.0
ADAM8	P78325	101				1.0
DLG4	P78352	1742				1.0
ADAM17	P78536	6868				1.0
HLA-DRB3	P79483	3125				1.0
SMAD3	P84022	4088				1.0
DAB2	P98082	1601				1.0
PKD1	P98161	5310				1.0
CDK5	Q00535	1020				1.0
CLTC	Q00610	1213				1.0
HSF1	Q00613	3297				1.0
ANK2	Q01484	287				1.0
XPC	Q01831	7508				1.0
SLC6A3	Q01959	6531				1.0
OCRL	Q01968	4952				1.0
CENPE	Q02224	1062				1.0
KIF23	Q02241	9493				1.0
MAP2K1	Q02750	5604				1.0
TEK	Q02763	7010				1.0
DST	Q03001	667				1.0
CAV1	Q03135	857				1.0
ATP7A	Q04656	538				1.0
GRIN1	Q05586	2902				1.0
RAD51	Q06609	5888				1.0
FMR1	Q06787	2332				1.0
CKAP4	Q07065	10970				1.0
BAX	Q07812	581				1.0
DHX9	Q08211	1660				1.0
GOLGA2	Q08379	2801				1.0
KCNA1	Q09470	3736				1.0
AHNAK	Q09666	79026				1.0
BST2	Q10589	684				1.0
SREBF2	Q12772	6721				1.0
STX4	Q12846	6810				1.0
HYAL2	Q12891	8692				1.0
ANK3	Q12955	288				1.0
DLG1	Q12959	1739				1.0
BNIP3	Q12983	664				1.0
TRDN	Q13061	10345				1.0
PAK1	Q13153	5058				1.0
CBX3	Q13185	11335				1.0
STX3	Q13277	6809				1.0
CLN3	Q13286	1201				1.0
PICALM	Q13492	8301				1.0
SQSTM1	Q13501	8878				1.0
PKD2	Q13563	5311				1.0
SNW1	Q13573	22938				1.0
IQGAP2	Q13576	10788				1.0
SNX1	Q13596	6642				1.0
MTMR2	Q13614	8898				1.0
RAB32	Q13637	10981				1.0
PKP1	Q13835	5317				1.0
CDK13	Q14004	8621				1.0
DAG1	Q14118	1605				1.0
SCRIB	Q14160	23513				1.0
DCTN1	Q14203	1639				1.0
CTTN	Q14247	2017				1.0
FLOT2	Q14254	2319				1.0
PTK2B	Q14289	2185				1.0
SCN5A	Q14524	6331				1.0
ITPR3	Q14573	3710				1.0
GRM7	Q14831	2917				1.0
KPNB1	Q14974	3837				1.0
NUMA1	Q14980	4926				1.0
SEPT2	Q15019	4735				1.0
NCAPD2	Q15021	9918				1.0
MLC1	Q15049	23209				1.0
CDK5R1	Q15078	8851				1.0
PGM5	Q15124	5239				1.0
PLEC	Q15149	5339				1.0
RAB35	Q15286	11021				1.0
TMED2	Q15363	10959				1.0
VAMP3	Q15836	9341				1.0
SMN1	Q16637	6606				1.0
FSCN1	Q16658	6624				1.0
PTPRO	Q16827	5800				1.0
HLA-DRB5	Q30154	3127				1.0
HFE	Q30201	3077				1.0
CDCA8	Q53HL2	55143				1.0
LRRK2	Q5S007	120892				1.0
LDLRAP1	Q5SW96	26119				1.0
WLS	Q5T9L3	79971				1.0
DAB2IP	Q5VWQ8	153090				1.0
KIAA0368	Q5VYK3	23392				1.0
LAMTOR1	Q6IAA8	55004				1.0
CCSAP	Q6IQ19	126731				1.0
NSMF	Q6X4W1	26012				1.0
CYFIP1	Q7L576	23191				1.0
CLASP1	Q7Z460	23332				1.0
MTDH	Q86UE4	92140				1.0
CAND1	Q86VP6	55832				1.0
SIRT2	Q8IXJ6	22933				1.0
TMEM192	Q8IY95	201931				1.0
WDFY3	Q8IZQ1	23001				1.0
PROM2	Q8N271	150696				1.0
PCSK9	Q8NBP7	255738				1.0
SYNE1	Q8NF91	23345				1.0
UHMK1	Q8TAS1	127933				1.0
DYNC2LI1	Q8TCX1	51626				1.0
WDR60	Q8WVS4	55112				1.0
PRPF31	Q8WWY3	26121				1.0
SYNE2	Q8WXH0	23224				1.0
NCSTN	Q92542	23385				1.0
NDRG1	Q92597	10397				1.0
SORL1	Q92673	6653				1.0
FGF13	Q92913	2258				1.0
RAB8B	Q92930	51762				1.0
ATP6V0A1	Q93050	535				1.0
AZIN2	Q96A70	113451				1.0
VTI1A	Q96AJ9	143187				1.0
SIRT1	Q96EB6	23411				1.0
DTNBP1	Q96EV8	84062				1.0
MCRS1	Q96EZ8	10445				1.0
DDX11	Q96FC9	1663				1.0
THOC1	Q96FV9	9984				1.0
AURKB	Q96GD4	9212				1.0
SNF8	Q96H20	11267				1.0
KCNC2	Q96PR1	3747				1.0
KIF20B	Q96Q89	9585				1.0
VPS35	Q96QK1	55737				1.0
BBS4	Q96RK4	585				1.0
CDK5RAP2	Q96SN8	55755				1.0
PARK7	Q99497	11315				1.0
SORT1	Q99523	6272				1.0
GPER1	Q99527	2852				1.0
PKP4	Q99569	8502				1.0
PIK3R4	Q99570	30849				1.0
LITAF	Q99732	9516				1.0
TSG101	Q99816	7251				1.0
CIB1	Q99828	10519				1.0
PKP2	Q99959	5318				1.0
MYOC	Q99972	4653				1.0
CORO1B	Q9BR76	57175				1.0
INPP5K	Q9BT40	51763				1.0
SYT11	Q9BT88	23208				1.0
PI4K2A	Q9BTU6	55361				1.0
VAMP8	Q9BV40	8673				1.0
SORBS1	Q9BX66	10580				1.0
PINK1	Q9BXM7	65018				1.0
CHMP4A	Q9BY43	29082				1.0
RTN4R	Q9BZR6	65078				1.0
RACGAP1	Q9H0H5	29127				1.0
RAB17	Q9H0T7	64284				1.0
SPTBN4	Q9H254	57731				1.0
VPS33B	Q9H267	26276				1.0
CHMP4B	Q9H444	128866				1.0
TRPV4	Q9HBA0	59341				1.0
ATP6V0A4	Q9HBG4	50617				1.0
ABCB6	Q9NP58	10058				1.0
EXOSC4	Q9NPD3	54512				1.0
ATP13A2	Q9NQ11	23400				1.0
FSCN3	Q9NQT6	29999				1.0
TLR9	Q9NR96	54106				1.0
PICK1	Q9NRD5	9463				1.0
TOPORS	Q9NS56	10210				1.0
TENM2	Q9NT68	57451				1.0
TERF2IP	Q9NYB0	54386				1.0
TLR7	Q9NYK1	51284				1.0
EHD2	Q9NZN4	30846				1.0
HDAC6	Q9UBN7	10013				1.0
SPAST	Q9UBP0	6683				1.0
CTSZ	Q9UBR2	1522				1.0
VTI1B	Q9UEU0	10490				1.0
CNTNAP2	Q9UHC6	26047				1.0
DBNL	Q9UJU6	28988				1.0
AGO2	Q9UKV8	27161				1.0
TENM1	Q9UKZ4	10178				1.0
RAB21	Q9UL25	23011				1.0
PYCARD	Q9ULZ3	29108				1.0
MYO6	Q9UM54	4646				1.0
BOK	Q9UMX3	666				1.0
VPS4A	Q9UN37	27183				1.0
PACSIN2	Q9UNF0	11252				1.0
STX8	Q9UNK0	9482				1.0
PSMD13	Q9UNM6	5719				1.0
SHANK2	Q9UPX8	22941				1.0
SMC3	Q9UQE7	9126				1.0
RUVBL2	Q9Y230	10856				1.0
NOP58	Q9Y2X3	51602				1.0
TMED7	Q9Y3B3	51014				1.0
FBXO7	Q9Y3I1	25793				1.0
RAPGEF2	Q9Y4G8	9693				1.0
MYO5A	Q9Y4I1	4644				1.0
SHANK1	Q9Y566	50944				1.0
CTDP1	Q9Y5B0	9150				1.0
CLIC4	Q9Y696	25932				1.0
ARFGEF2	Q9Y6D5	10564				1.0
