GO Phrase	GO	NA
activation of NF-kappaB-inducing kinase activity	GO:0072661	na
multicellular organism development	GO:0072661	na
extrinsic apoptotic signaling pathway via death domain receptors	GO:0072661	na
extrinsic apoptotic signaling pathway	GO:0072661	na
activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	GO:0072661	na
regulation of extrinsic apoptotic signaling pathway via death domain receptors	GO:0072661	na
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	GO:0072661	na
negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	GO:0072661	na
positive regulation of insulin secretion	GO:0072661	na
negative regulation of insulin secretion	GO:0072661	na
central nervous system development	GO:0072661	na
positive regulation of cell differentiation	GO:0072661	na
positive regulation of osteoblast differentiation	GO:0072661	na
cellular response to BMP stimulus	GO:0072661	na
antimicrobial humoral response	GO:0072661	na
neuropeptide signaling pathway	GO:0072661	na
blood coagulation	GO:0072661	na
response to wounding	GO:0072661	na
platelet activation	GO:0072661	na
positive regulation of Rho protein signal transduction	GO:0072661	na
chromatin remodeling	GO:0072661	na
7-methylguanosine mRNA capping	GO:0072661	na
response to organic substance	GO:0072661	na
positive regulation of macroautophagy	GO:0072661	na
positive regulation of viral transcription	GO:0072661	na
transcription initiation from RNA polymerase II promoter	GO:0072661	na
regulation of signal transduction by p53 class mediator	GO:0072661	na
regulation of endocytosis	GO:0072661	na
positive regulation of epidermal growth factor receptor signaling pathway	GO:0072661	na
positive regulation of receptor-mediated endocytosis	GO:0072661	na
transforming growth factor beta receptor signaling pathway	GO:0072661	na
positive regulation of pathway-restricted SMAD protein phosphorylation	GO:0072661	na
regulation of MAPK cascade	GO:0072661	na
cell development	GO:0072661	na
positive regulation of phagocytosis	GO:0072661	na
cellular protein modification process	GO:0072661	na
regulation of membrane potential	GO:0072661	na
negative regulation of sequence-specific DNA binding transcription factor activity	GO:0072661	na
viral entry into host cell	GO:0072661	na
protein autoubiquitination	GO:0072661	na
protein K63-linked ubiquitination	GO:0072661	na
G1/S transition of mitotic cell cycle	GO:0072661	na
DNA replication	GO:0072661	na
phagocytosis	GO:0072661	na
positive regulation of G2/M transition of mitotic cell cycle	GO:0072661	na
epithelial cell differentiation	GO:0072661	na
protein oligomerization	GO:0072661	na
negative regulation of TOR signaling	GO:0072661	na
circadian regulation of gene expression	GO:0072661	na
negative regulation of fat cell differentiation	GO:0072661	na
regulation of insulin secretion	GO:0072661	na
regulation of cell cycle	GO:0072661	na
adaptive immune response	GO:0072661	na
phosphatidylinositol biosynthetic process	GO:0072661	na
axon guidance	GO:0072661	na
phosphatidylinositol 3-kinase signaling	GO:0072661	na
regulation of phosphatidylinositol 3-kinase signaling	GO:0072661	na
phosphorylation	GO:0072661	na
T cell differentiation	GO:0072661	na
T cell activation	GO:0072661	na
B cell activation	GO:0072661	na
phosphatidylinositol-mediated signaling	GO:0072661	na
ion transport	GO:0072661	na
anatomical structure morphogenesis	GO:0072661	na
cell migration	GO:0072661	na
thymus development	GO:0072661	na
ER to Golgi vesicle-mediated transport	GO:0072661	na
protein complex assembly	GO:0072661	na
movement of cell or subcellular component	GO:0072661	na
ephrin receptor signaling pathway	GO:0072661	na
regulation of nitric-oxide synthase activity	GO:0072661	na
positive regulation of filopodium assembly	GO:0072661	na
dendritic spine morphogenesis	GO:0072661	na
cAMP-mediated signaling	GO:0072661	na
cellular response to drug	GO:0072661	na
establishment of endothelial barrier	GO:0072661	na
cellular response to transforming growth factor beta stimulus	GO:0072661	na
protein import into nucleus, translocation	GO:0072661	na
protein autophosphorylation	GO:0072661	na
microtubule cytoskeleton organization	GO:0072661	na
brain development	GO:0072661	na
translation	GO:0072661	na
regulation of mitochondrion organization	GO:0072661	na
positive regulation of protein secretion	GO:0072661	na
protein homotetramerization	GO:0072661	na
positive regulation of mitochondrial fission	GO:0072661	na
execution phase of apoptosis	GO:0072661	na
positive regulation of intrinsic apoptotic signaling pathway	GO:0072661	na
endocytosis	GO:0072661	na
epidermal growth factor receptor signaling pathway	GO:0072661	na
insulin receptor signaling pathway	GO:0072661	na
platelet-derived growth factor receptor signaling pathway	GO:0072661	na
transmembrane receptor protein tyrosine kinase signaling pathway	GO:0072661	na
regulation of autophagy	GO:0072661	na
cellular response to insulin stimulus	GO:0072661	na
response to endoplasmic reticulum stress	GO:0072661	na
positive regulation of transcription factor import into nucleus	GO:0072661	na
vascular endothelial growth factor receptor signaling pathway	GO:0072661	na
positive regulation of sequence-specific DNA binding transcription factor activity	GO:0072661	na
retinoid metabolic process	GO:0072661	na
extracellular matrix organization	GO:0072661	na
receptor clustering	GO:0072661	na
synapse organization	GO:0072661	na
snRNA transcription from RNA polymerase II promoter	GO:0072661	na
embryo development	GO:0072661	na
positive regulation of viral genome replication	GO:0072661	na
double-strand break repair via homologous recombination	GO:0072661	na
double-strand break repair via nonhomologous end joining	GO:0072661	na
nucleus organization	GO:0072661	na
outflow tract morphogenesis	GO:0072661	na
learning	GO:0072661	na
palate development	GO:0072661	na
response to hydrogen peroxide	GO:0072661	na
regulation of cell differentiation	GO:0072661	na
beta-catenin-TCF complex assembly	GO:0072661	na
regulation of transforming growth factor beta receptor signaling pathway	GO:0072661	na
negative regulation of endothelial cell proliferation	GO:0072661	na
negative regulation of endothelial cell migration	GO:0072661	na
negative regulation of angiogenesis	GO:0072661	na
cell redox homeostasis	GO:0072661	na
negative regulation of endothelial cell apoptotic process	GO:0072661	na
rRNA processing	GO:0072661	na
heart looping	GO:0072661	na
Notch signaling pathway	GO:0072661	na
Notch receptor processing	GO:0072661	na
hemopoiesis	GO:0072661	na
regulation of cell adhesion	GO:0072661	na
negative regulation of neuron differentiation	GO:0072661	na
positive regulation of Notch signaling pathway	GO:0072661	na
positive regulation of cytosolic calcium ion concentration	GO:0072661	na
cell death	GO:0072661	na
calcium ion transmembrane transport	GO:0072661	na
positive regulation of epithelial to mesenchymal transition	GO:0072661	na
actin cytoskeleton organization	GO:0072661	na
positive regulation of cell growth	GO:0072661	na
positive regulation of transforming growth factor beta receptor signaling pathway	GO:0072661	na
positive regulation of phosphorylation	GO:0072661	na
positive regulation of JNK cascade	GO:0072661	na
positive regulation of exosomal secretion	GO:0072661	na
lipid metabolic process	GO:0072661	na
RNA splicing	GO:0072661	na
chromatin organization	GO:0072661	na
chromosome segregation	GO:0072661	na
Wnt signaling pathway	GO:0072661	na
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0072661	na
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0072661	na
positive regulation of translation	GO:0072661	na
intrinsic apoptotic signaling pathway	GO:0072661	na
positive regulation of cell-matrix adhesion	GO:0072661	na
dendritic cell chemotaxis	GO:0072661	na
T cell costimulation	GO:0072661	na
positive regulation of phosphatidylinositol 3-kinase activity	GO:0072661	na
positive regulation of protein kinase activity	GO:0072661	na
positive regulation of chemotaxis	GO:0072661	na
release of sequestered calcium ion into cytosol	GO:0072661	na
cell chemotaxis	GO:0072661	na
positive regulation of neutrophil chemotaxis	GO:0072661	na
negative regulation of cell adhesion	GO:0072661	na
protein localization to cell surface	GO:0072661	na
positive regulation of BMP signaling pathway	GO:0072661	na
regulation of ERK1 and ERK2 cascade	GO:0072661	na
protein monoubiquitination	GO:0072661	na
calcium ion transport	GO:0072661	na
interferon-gamma-mediated signaling pathway	GO:0072661	na
chondrocyte differentiation	GO:0072661	na
protein dephosphorylation	GO:0072661	na
COPII vesicle coating	GO:0072661	na
cell fate commitment	GO:0072661	na
canonical Wnt signaling pathway	GO:0072661	na
cellular response to retinoic acid	GO:0072661	na
positive regulation of cellular protein metabolic process	GO:0072661	na
embryonic digit morphogenesis	GO:0072661	na
positive regulation of synapse assembly	GO:0072661	na
positive regulation of excitatory postsynaptic potential	GO:0072661	na
gluconeogenesis	GO:0072661	na
protein K48-linked ubiquitination	GO:0072661	na
protein K11-linked ubiquitination	GO:0072661	na
phospholipid metabolic process	GO:0072661	na
regulation of lipid metabolic process	GO:0072661	na
androgen receptor signaling pathway	GO:0072661	na
negative regulation of protein phosphorylation	GO:0072661	na
JAK-STAT cascade	GO:0072661	na
cellular response to hormone stimulus	GO:0072661	na
negative regulation of insulin receptor signaling pathway	GO:0072661	na
ERBB2 signaling pathway	GO:0072661	na
regulation of cell motility	GO:0072661	na
homophilic cell adhesion via plasma membrane adhesion molecules	GO:0072661	na
positive regulation of angiogenesis	GO:0072661	na
mitotic cell cycle	GO:0072661	na
mitotic cytokinesis	GO:0072661	na
cytokinesis	GO:0072661	na
positive regulation of cytokinesis	GO:0072661	na
neuron apoptotic process	GO:0072661	na
IRE1-mediated unfolded protein response	GO:0072661	na
positive regulation of protein complex assembly	GO:0072661	na
cellular response to oxidative stress	GO:0072661	na
positive regulation of leukocyte chemotaxis	GO:0072661	na
positive regulation of release of sequestered calcium ion into cytosol	GO:0072661	na
animal organ morphogenesis	GO:0072661	na
epidermis development	GO:0072661	na
keratinocyte differentiation	GO:0072661	na
neurotransmitter secretion	GO:0072661	na
positive regulation of Wnt signaling pathway	GO:0072661	na
negative regulation of protein binding	GO:0072661	na
positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0072661	na
protein localization to nucleus	GO:0072661	na
beta-catenin destruction complex disassembly	GO:0072661	na
neural tube closure	GO:0072661	na
positive regulation of JUN kinase activity	GO:0072661	na
positive regulation by host of viral transcription	GO:0072661	na
neuron projection development	GO:0072661	na
protein homooligomerization	GO:0072661	na
in utero embryonic development	GO:0072661	na
membrane protein ectodomain proteolysis	GO:0072661	na
integrin-mediated signaling pathway	GO:0072661	na
response to tumor necrosis factor	GO:0072661	na
positive regulation of endothelial cell migration	GO:0072661	na
protein transport	GO:0072661	na
activation of protein kinase B activity	GO:0072661	na
regulation of cell adhesion mediated by integrin	GO:0072661	na
cellular response to vascular endothelial growth factor stimulus	GO:0072661	na
regulation of GTPase activity	GO:0072661	na
cellular response to fibroblast growth factor stimulus	GO:0072661	na
positive regulation of stress fiber assembly	GO:0072661	na
negative regulation of focal adhesion assembly	GO:0072661	na
negative regulation of I-kappaB kinase/NF-kappaB signaling	GO:0072661	na
JNK cascade	GO:0072661	na
activation of JUN kinase activity	GO:0072661	na
response to heat	GO:0072661	na
response to UV	GO:0072661	na
positive regulation of telomere maintenance via telomerase	GO:0072661	na
stress-activated MAPK cascade	GO:0072661	na
positive regulation of telomerase activity	GO:0072661	na
positive regulation of telomere capping	GO:0072661	na
regulation of cell size	GO:0072661	na
negative regulation of mitotic cell cycle	GO:0072661	na
negative regulation of protein kinase B signaling	GO:0072661	na
establishment of protein localization to plasma membrane	GO:0072661	na
DNA damage checkpoint	GO:0072661	na
DNA repair	GO:0072661	na
peptidyl-threonine phosphorylation	GO:0072661	na
G2 DNA damage checkpoint	GO:0072661	na
positive regulation of cell cycle	GO:0072661	na
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	GO:0072661	na
angiogenesis	GO:0072661	na
branching involved in blood vessel morphogenesis	GO:0072661	na
neuron migration	GO:0072661	na
cell migration involved in sprouting angiogenesis	GO:0072661	na
artery morphogenesis	GO:0072661	na
positive chemotaxis	GO:0072661	na
cellular response to glucose stimulus	GO:0072661	na
positive regulation of type I interferon production	GO:0072661	na
positive regulation of protein targeting to mitochondrion	GO:0072661	na
positive regulation of calcium ion transport	GO:0072661	na
positive regulation of defense response to virus by host	GO:0072661	na
response to toxic substance	GO:0072661	na
regulation of transcription involved in G1/S transition of mitotic cell cycle	GO:0072661	na
type I interferon signaling pathway	GO:0072661	na
mitotic cell cycle checkpoint	GO:0072661	na
response to retinoic acid	GO:0072661	na
endothelial cell migration	GO:0072661	na
regulation of synaptic plasticity	GO:0072661	na
synapse assembly	GO:0072661	na
regulation of tumor necrosis factor-mediated signaling pathway	GO:0072661	na
cortical actin cytoskeleton organization	GO:0072661	na
nucleotide-binding oligomerization domain containing signaling pathway	GO:0072661	na
interleukin-1-mediated signaling pathway	GO:0072661	na
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	GO:0072661	na
translesion synthesis	GO:0072661	na
cell motility	GO:0072661	na
wound healing	GO:0072661	na
positive regulation of DNA replication	GO:0072661	na
positive regulation of mitotic nuclear division	GO:0072661	na
positive regulation of fibroblast proliferation	GO:0072661	na
positive regulation of smooth muscle cell proliferation	GO:0072661	na
negative regulation of epithelial cell proliferation	GO:0072661	na
regulation of heart rate	GO:0072661	na
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	GO:0072661	na
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	GO:0072661	na
cardiac muscle contraction	GO:0072661	na
regulation of membrane repolarization	GO:0072661	na
negative regulation of epidermal growth factor receptor signaling pathway	GO:0072661	na
regulation of cytokinesis	GO:0072661	na
Golgi organization	GO:0072661	na
response to bacterium	GO:0072661	na
negative regulation of neuron projection development	GO:0072661	na
regulation of neuron death	GO:0072661	na
negative regulation of protein catabolic process	GO:0072661	na
protein export from nucleus	GO:0072661	na
substantia nigra development	GO:0072661	na
regulation of protein phosphorylation	GO:0072661	na
positive regulation of neuron projection development	GO:0072661	na
positive regulation of axonogenesis	GO:0072661	na
negative regulation of protein ubiquitination	GO:0072661	na
regulation of circadian rhythm	GO:0072661	na
histone H3 deacetylation	GO:0072661	na
protein processing	GO:0072661	na
collagen fibril organization	GO:0072661	na
negative regulation of epithelial to mesenchymal transition	GO:0072661	na
negative regulation of cell migration	GO:0072661	na
negative regulation of transforming growth factor beta receptor signaling pathway	GO:0072661	na
negative regulation of BMP signaling pathway	GO:0072661	na
negative regulation of peptidyl-serine phosphorylation	GO:0072661	na
ventricular cardiac muscle tissue morphogenesis	GO:0072661	na
regulation of cardiac muscle contraction	GO:0072661	na
pathway-restricted SMAD protein phosphorylation	GO:0072661	na
ventricular septum morphogenesis	GO:0072661	na
cellular response to reactive oxygen species	GO:0072661	na
cellular response to cadmium ion	GO:0072661	na
cholesterol efflux	GO:0072661	na
low-density lipoprotein particle clearance	GO:0072661	na
cholesterol homeostasis	GO:0072661	na
cell aging	GO:0072661	na
cellular senescence	GO:0072661	na
negative regulation of blood vessel endothelial cell migration	GO:0072661	na
memory	GO:0072661	na
DNA damage response, signal transduction by p53 class mediator	GO:0072661	na
cellular response to hypoxia	GO:0072661	na
transcription initiation from RNA polymerase I promoter	GO:0072661	na
transcription elongation from RNA polymerase I promoter	GO:0072661	na
termination of RNA polymerase I transcription	GO:0072661	na
acute-phase response	GO:0072661	na
cellular protein complex assembly	GO:0072661	na
positive regulation of protein catabolic process	GO:0072661	na
heart morphogenesis	GO:0072661	na
response to interferon-gamma	GO:0072661	na
substrate adhesion-dependent cell spreading	GO:0072661	na
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0072661	na
single organismal cell-cell adhesion	GO:0072661	na
defense response to Gram-positive bacterium	GO:0072661	na
antimicrobial humoral immune response mediated by antimicrobial peptide	GO:0072661	na
muscle filament sliding	GO:0072661	na
positive regulation of proteolysis	GO:0072661	na
