GeneSym	UniprotACC	GeneID
ARRB1	P49407	408
CENPF	P49454	1063
TMED10	P49755	10972
PSEN1	P49768	5663
RANBP2	P49792	5903
PSEN2	P49810	5664
LIG4	P49917	3981
MMP14	P50281	4323
DNM2	P50570	1785
CCT8	P50990	10694
ANXA11	P50995	311
RAB7A	P51149	7879
RAB13	P51153	5872
RAB27A	P51159	5873
CAV2	P51636	858
KCNQ1	P51787	3784
CLCN3	P51790	1182
VAMP7	P51809	6845
NUP98	P52948	4928
PLK1	P53350	5347
COPB1	P53618	1315
CTSC	P53634	1075
CLTCL1	P53675	8218
BLM	P54132	641
ATXN3	P54252	4287
VCP	P55072	7415
SEC13	P55735	6396
BACE1	P56817	23621
STX17	P56962	55014
PTEN	P60484	5728
ACTB	P60709	60
RAC3	P60763	5881
SNAP25	P60880	6616
PSMA6	P60900	5687
CDC42	P60953	998
RAB8A	P61006	4218
RAB10	P61026	10890
RAB14	P61106	51552
RPS3A	P61247	6189
RHOA	P61586	387
B2M	P61769	567
AP1S1	P61966	1174
RPS7	P62081	6201
PSMC5	P62195	5705
SNRPE	P62304	6635
SNRPF	P62306	6636
SNRPG	P62308	6637
SNRPD1	P62314	6632
SNRPD2	P62316	6633
SNRPD3	P62318	6634
ARF6	P62330	382
RAB11A	P62491	8766
RPS4X	P62701	6191
RPS6	P62753	6194
RAN	P62826	5901
RBX1	P62877	9978
RPS27A	P62979	6233
UBA52	P62987	7311
GRB2	P62993	2885
RAC1	P63000	5879
VAMP2	P63027	6844
GNAI1	P63096	2770
YWHAZ	P63104	7534
SNRPN	P63162	6638
SUMO1	P63165	7341
DYNLL1	P63167	8655
RACK1	P63244	10399
ACTG1	P63261	71
YBX1	P67809	4904
CSNK2B	P67870	1460
ACTC1	P68032	70
EEF1A1	P68104	1915
ACTA1	P68133	58
CXADR	P78310	1525
ADAM8	P78325	101
DLG4	P78352	1742
ADAM17	P78536	6868
HLA-DRB3	P79483	3125
SMAD3	P84022	4088
DAB2	P98082	1601
PKD1	P98161	5310
CDK5	Q00535	1020
CLTC	Q00610	1213
HSF1	Q00613	3297
ANK2	Q01484	287
XPC	Q01831	7508
SLC6A3	Q01959	6531
OCRL	Q01968	4952
CENPE	Q02224	1062
KIF23	Q02241	9493
MAP2K1	Q02750	5604
TEK	Q02763	7010
DST	Q03001	667
CAV1	Q03135	857
ATP7A	Q04656	538
GRIN1	Q05586	2902
RAD51	Q06609	5888
FMR1	Q06787	2332
CKAP4	Q07065	10970
BAX	Q07812	581
DHX9	Q08211	1660
GOLGA2	Q08379	2801
KCNA1	Q09470	3736
AHNAK	Q09666	79026
BST2	Q10589	684
SREBF2	Q12772	6721
STX4	Q12846	6810
HYAL2	Q12891	8692
ANK3	Q12955	288
DLG1	Q12959	1739
BNIP3	Q12983	664
TRDN	Q13061	10345
PAK1	Q13153	5058
CBX3	Q13185	11335
STX3	Q13277	6809
CLN3	Q13286	1201
PICALM	Q13492	8301
SQSTM1	Q13501	8878
PKD2	Q13563	5311
SNW1	Q13573	22938
IQGAP2	Q13576	10788
SNX1	Q13596	6642
MTMR2	Q13614	8898
RAB32	Q13637	10981
PKP1	Q13835	5317
CDK13	Q14004	8621
DAG1	Q14118	1605
SCRIB	Q14160	23513
DCTN1	Q14203	1639
CTTN	Q14247	2017
FLOT2	Q14254	2319
PTK2B	Q14289	2185
SCN5A	Q14524	6331
ITPR3	Q14573	3710
GRM7	Q14831	2917
KPNB1	Q14974	3837
NUMA1	Q14980	4926
SEPT2	Q15019	4735
NCAPD2	Q15021	9918
MLC1	Q15049	23209
CDK5R1	Q15078	8851
PGM5	Q15124	5239
PLEC	Q15149	5339
RAB35	Q15286	11021
TMED2	Q15363	10959
VAMP3	Q15836	9341
SMN1	Q16637	6606
FSCN1	Q16658	6624
PTPRO	Q16827	5800
HLA-DRB5	Q30154	3127
HFE	Q30201	3077
CDCA8	Q53HL2	55143
LRRK2	Q5S007	120892
LDLRAP1	Q5SW96	26119
WLS	Q5T9L3	79971
DAB2IP	Q5VWQ8	153090
KIAA0368	Q5VYK3	23392
LAMTOR1	Q6IAA8	55004
CCSAP	Q6IQ19	126731
NSMF	Q6X4W1	26012
CYFIP1	Q7L576	23191
CLASP1	Q7Z460	23332
MTDH	Q86UE4	92140
CAND1	Q86VP6	55832
SIRT2	Q8IXJ6	22933
TMEM192	Q8IY95	201931
WDFY3	Q8IZQ1	23001
PROM2	Q8N271	150696
PCSK9	Q8NBP7	255738
SYNE1	Q8NF91	23345
UHMK1	Q8TAS1	127933
DYNC2LI1	Q8TCX1	51626
WDR60	Q8WVS4	55112
PRPF31	Q8WWY3	26121
SYNE2	Q8WXH0	23224
NCSTN	Q92542	23385
NDRG1	Q92597	10397
SORL1	Q92673	6653
FGF13	Q92913	2258
RAB8B	Q92930	51762
ATP6V0A1	Q93050	535
AZIN2	Q96A70	113451
VTI1A	Q96AJ9	143187
SIRT1	Q96EB6	23411
DTNBP1	Q96EV8	84062
MCRS1	Q96EZ8	10445
DDX11	Q96FC9	1663
THOC1	Q96FV9	9984
AURKB	Q96GD4	9212
SNF8	Q96H20	11267
KCNC2	Q96PR1	3747
KIF20B	Q96Q89	9585
VPS35	Q96QK1	55737
BBS4	Q96RK4	585
CDK5RAP2	Q96SN8	55755
PARK7	Q99497	11315
SORT1	Q99523	6272
GPER1	Q99527	2852
PKP4	Q99569	8502
PIK3R4	Q99570	30849
LITAF	Q99732	9516
TSG101	Q99816	7251
CIB1	Q99828	10519
PKP2	Q99959	5318
MYOC	Q99972	4653
CORO1B	Q9BR76	57175
INPP5K	Q9BT40	51763
SYT11	Q9BT88	23208
PI4K2A	Q9BTU6	55361
VAMP8	Q9BV40	8673
SORBS1	Q9BX66	10580
PINK1	Q9BXM7	65018
CHMP4A	Q9BY43	29082
RTN4R	Q9BZR6	65078
RACGAP1	Q9H0H5	29127
RAB17	Q9H0T7	64284
SPTBN4	Q9H254	57731
VPS33B	Q9H267	26276
CHMP4B	Q9H444	128866
TRPV4	Q9HBA0	59341
ATP6V0A4	Q9HBG4	50617
ABCB6	Q9NP58	10058
EXOSC4	Q9NPD3	54512
ATP13A2	Q9NQ11	23400
FSCN3	Q9NQT6	29999
TLR9	Q9NR96	54106
PICK1	Q9NRD5	9463
TOPORS	Q9NS56	10210
TENM2	Q9NT68	57451
TERF2IP	Q9NYB0	54386
TLR7	Q9NYK1	51284
EHD2	Q9NZN4	30846
HDAC6	Q9UBN7	10013
SPAST	Q9UBP0	6683
CTSZ	Q9UBR2	1522
VTI1B	Q9UEU0	10490
CNTNAP2	Q9UHC6	26047
DBNL	Q9UJU6	28988
AGO2	Q9UKV8	27161
TENM1	Q9UKZ4	10178
RAB21	Q9UL25	23011
PYCARD	Q9ULZ3	29108
MYO6	Q9UM54	4646
BOK	Q9UMX3	666
VPS4A	Q9UN37	27183
PACSIN2	Q9UNF0	11252
STX8	Q9UNK0	9482
PSMD13	Q9UNM6	5719
SHANK2	Q9UPX8	22941
SMC3	Q9UQE7	9126
RUVBL2	Q9Y230	10856
NOP58	Q9Y2X3	51602
TMED7	Q9Y3B3	51014
FBXO7	Q9Y3I1	25793
RAPGEF2	Q9Y4G8	9693
MYO5A	Q9Y4I1	4644
SHANK1	Q9Y566	50944
CTDP1	Q9Y5B0	9150
CLIC4	Q9Y696	25932
ARFGEF2	Q9Y6D5	10564
