structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z
4903,10,4597,CX,"TP-s","temporal pole, left, superior aspect",978623,138,94,71,-49.3,5.3,-6.1
4904,10,4541,CX,"TP-i","temporal pole, left, inferior aspect",979001,128,126,71,-37.8,4.3,-43.7
4907,10,4517,CX,"TP-i","temporal pole, right, inferior aspect",978916,56,119,71,42.8,5.9,-35.4
4908,10,4525,CX,"TP-m","temporal pole, right, medial aspect",978913,72,127,71,24.9,5.3,-44.8
4907,10,4533,CX,"TP-i","temporal pole, right, inferior aspect",983191,57,117,71,41.6,6.0,-33.1
4012,10,4572,CX,"PrG-prc","precentral gyrus, left, bank of the precentral sulcus",978417,139,70,70,-50.7,7.3,22.0
4024,10,4564,CX,"SFG-l","superior frontal gyrus, left, lateral bank of gyrus",982943,125,41,65,-35.3,14.2,55.7
4030,10,4556,CX,"MFG-s","middle frontal gyrus, left, superior bank of gyrus",980080,130,43,65,-40.9,14.0,53.3
4027,10,4524,CX,"SFG-l","superior frontal gyrus, right, lateral bank of gyrus",978329,70,42,64,26.3,16.3,54.5
4024,4,4562,CX,"SFG-l","superior frontal gyrus, left, lateral bank of gyrus",983142,108,59,25,-16.6,57.5,30.5
4027,4,4570,CX,"SFG-l","superior frontal gyrus, right, lateral bank of gyrus",977462,85,50,29,9.1,53.9,41.6
4030,4,4546,CX,"MFG-s","middle frontal gyrus, left, superior bank of gyrus",977469,110,60,25,-18.9,57.4,29.4
4033,4,4554,CX,"MFG-s","middle frontal gyrus, right, superior bank of gyrus",977458,82,50,29,12.5,53.9,41.6
4024,4,4586,CX,"SFG-l","superior frontal gyrus, left, lateral bank of gyrus",983143,108,60,25,-16.6,57.4,29.4
4030,2,4538,CX,"MFG-s","middle frontal gyrus, left, superior bank of gyrus",976928,108,90,18,-16.4,63.9,-6.6
4031,2,4530,CX,"MFG-i","middle frontal gyrus, left, inferior bank of gyrus",976929,108,96,18,-16.4,63.6,-13.7
4026,2,4514,CX,"SFG-m","superior frontal gyrus, right, medial bank of gyrus",976924,87,87,15,7.0,67.7,-3.4
4891,2,4577,CX,"FPi","frontal pole, left, inferior aspect",976920,102,97,18,-9.6,63.7,-14.8
4892,2,4593,CX,"FPm","frontal pole, left, medial aspect",976921,94,101,17,-0.7,64.8,-19.6
4895,2,4585,CX,"FPi","frontal pole, right, inferior aspect",976922,84,102,15,10.5,67.1,-21.0
4896,2,4601,CX,"FPm","frontal pole, right, medial aspect",976923,90,92,15,3.7,67.4,-9.2
4891,2,4522,CX,"FPi","frontal pole, left, inferior aspect",983172,102,95,18,-9.7,63.8,-12.5
4023,8,4683,CX,"SFG-m","superior frontal gyrus, left, medial bank of gyrus",991116,101,62,47,-8.5,33.5,29.2
4026,8,4699,CX,"SFG-m","superior frontal gyrus, right, medial bank of gyrus",991117,88,60,53,6.1,27.2,32.2
4027,8,4667,CX,"SFG-l","superior frontal gyrus, right, lateral bank of gyrus",990441,77,48,53,18.4,27.9,46.3
4024,6,4681,CX,"SFG-l","superior frontal gyrus, left, lateral bank of gyrus",984859,115,56,37,-24.4,44.3,35.3
4051,6,4658,CX,"MOrG","medial orbital gyrus, left",983527,103,105,43,-10.4,36.1,-21.8
4902,6,4619,CX,"IRoG","inferior rostral gyrus, right",983536,89,98,41,5.2,38.8,-13.7
4046,6,4626,CX,"orIFG","inferior frontal gyrus, orbital part, right",983520,51,92,40,47.7,40.9,-6.7
4060,6,4651,CX,"LOrG","lateral orbital gyrus, left",984943,115,98,43,-23.9,36.2,-13.6
4223,6,4665,CX,"CgGf-s","cingulate gyrus, frontal part, left, superior bank of gyrus",982050,100,75,39,-7.3,41.7,13.1
4226,6,4673,CX,"CgGf-s","cingulate gyrus, frontal part, right, superior bank of gyrus",982035,87,67,39,7.2,42.3,22.6
4027,6,4633,CX,"SFG-l","superior frontal gyrus, right, lateral bank of gyrus",981937,73,57,39,22.7,42.9,34.3
4031,4,4594,CX,"MFG-i","middle frontal gyrus, left, inferior bank of gyrus",977482,128,77,32,-38.8,48.7,10.0
4274,10,4565,CX,"SIG","short insular gyri, right",978419,62,81,69,35.7,9.5,9.1
4284,10,4549,CX,"HCd","head of caudate nucleus, right",978418,81,77,69,14.4,9.3,13.8
4033,10,4516,CX,"MFG-s","middle frontal gyrus, right, superior bank of gyrus",978328,65,44,65,31.9,15.2,52.2
4034,10,4603,CX,"MFG-i","middle frontal gyrus, right, inferior bank of gyrus",978308,50,62,66,48.9,13.7,31.2
4026,4,4579,CX,"SFG-m","superior frontal gyrus, right, medial bank of gyrus",977536,82,78,29,12.7,52.8,8.6
4049,4,4539,CX,"GRe","gyrus rectus, right",977533,85,102,28,9.6,52.9,-19.7
4027,2,4537,CX,"SFG-l","superior frontal gyrus, right, lateral bank of gyrus",980073,77,71,16,18.1,67.4,15.6
4051,4,4563,CX,"MOrG","medial orbital gyrus, left",981586,111,95,29,-19.6,51.6,-11.4
4052,4,4571,CX,"MOrG","medial orbital gyrus, right",977532,83,102,28,11.8,53.0,-19.7
4898,4,4587,CX,"SRoG","superior rostral gyrus, left",977531,100,88,25,-7.4,56.5,-3.6
4899,4,4595,CX,"SRoG","superior rostral gyrus, right",977535,83,84,29,11.7,52.6,1.6
4901,4,4547,CX,"IRoG","inferior rostral gyrus, left",977530,99,91,25,-6.3,56.4,-7.1
4034,4,4523,CX,"MFG-i","middle frontal gyrus, right, inferior bank of gyrus",977494,58,76,28,39.6,54.5,10.9
4046,4,4531,CX,"orIFG","inferior frontal gyrus, orbital part, right",977493,64,93,28,33.0,53.7,-9.1
4061,4,4515,CX,"LOrG","lateral orbital gyrus, right",977492,71,93,27,25.2,54.6,-9.2
4023,4,4578,CX,"SFG-m","superior frontal gyrus, left, medial bank of gyrus",977475,102,80,25,-9.7,56.7,5.9
4024,2,4569,CX,"SFG-l","superior frontal gyrus, left, lateral bank of gyrus",980066,112,72,17,-21.1,65.6,14.5
4023,2,4553,CX,"SFG-m","superior frontal gyrus, left, medial bank of gyrus",977023,98,81,16,-5.3,66.6,3.8
4033,2,4529,CX,"MFG-s","middle frontal gyrus, right, superior bank of gyrus",980074,74,72,16,21.5,67.4,14.4
4034,2,4521,CX,"MFG-i","middle frontal gyrus, right, inferior bank of gyrus",980072,75,87,15,20.5,67.9,-3.3
4894,2,4513,CX,"FP-s","frontal pole, right, superior aspect",980071,74,90,15,21.6,67.8,-6.9
4894,2,4545,CX,"FP-s","frontal pole, right, superior aspect",983153,71,90,15,25.0,67.8,-6.9
4280,9,4518,CX,"HCd","head of caudate nucleus, left",976995,105,86,59,-12.6,19.4,2.2
4288,9,4526,CX,"Pu","putamen, left",976993,113,89,58,-21.5,20.2,-1.5
4023,10,4540,CX,"SFG-m","superior frontal gyrus, left, medial bank of gyrus",982936,101,56,63,-8.3,16.3,37.8
4026,10,4548,CX,"SFG-m","superior frontal gyrus, right, medial bank of gyrus",982939,92,48,62,1.7,17.8,47.2
4226,10,4532,CX,"CgGf-s","cingulate gyrus, frontal part, right, superior bank of gyrus",982937,101,60,62,-8.3,17.2,33.0
4289,9,4605,CX,"Pu","putamen, right",991070,76,89,58,19.9,20.9,-1.4
4146,12,4630,CX,"MTG-i","middle temporal gyrus, right, inferior bank of gyrus",992976,49,113,83,50.7,-6.8,-27.2
4153,12,4638,CX,"ITG-its","inferior temporal gyrus, right, bank of the its",992968,57,121,84,41.9,-8.4,-36.5
4155,12,4654,CX,"ITG-mts","inferior temporal gyrus, right, bank of mts",992970,50,116,83,49.6,-7.0,-30.7
4145,12,4701,CX,"MTG-s","middle temporal gyrus, right, superior bank of gyrus",992925,46,107,83,54.0,-6.5,-20.1
4030,12,4677,CX,"MFG-s","middle frontal gyrus, left, superior bank of gyrus",992845,116,35,79,-25.1,-0.7,64.1
4058,8,4676,CX,"POrG","posterior orbital gyrus, right",993198,75,104,54,21.1,24.7,-19.5
4042,8,4660,CX,"opIFG","inferior frontal gyrus, opercular part, left",993105,144,64,59,-56.5,19.5,28.0
9543,93,8912,BS,"Cu","cuneate nucleus, left",1114117,101,133,117,-6.9,-45.7,-47.4
9561,93,8903,BS,"IO","inferior olivary complex, left",1113642,100,134,109,-5.9,-37.0,-49.4
9565,93,8911,BS,"IO","inferior olivary complex, right",1113625,90,134,109,5.3,-36.8,-49.3
9598,93,8919,BS,"GiRt","gigantocellular group, left",1113022,97,133,114,-2.5,-42.3,-47.7
9604,93,8927,BS,"GiRt","gigantocellular group, right",1113023,93,134,113,2.0,-41.2,-49.0
9642,93,8840,BS,"RaM","raphe nuclei of medulla",1113017,95,134,113,-0.2,-41.2,-49.0
9677,93,8848,BS,"Sp5","spinal trigeminal nucleus, left",1116415,101,133,114,-7.0,-42.4,-47.7
9684,93,8856,BS,"Sp5","spinal trigeminal nucleus, right",1116414,87,134,113,8.7,-41.1,-48.9
9698,93,8864,BS,"8Ve","vestibular nuclei, left",1113123,98,133,117,-3.6,-45.6,-47.4
9703,93,8872,BS,"8Ve","vestibular nuclei, right",1113124,89,133,116,6.5,-44.4,-47.5
9521,93,8880,BS,"Arc","arcuate nucleus of medulla, right",1112856,92,135,106,3.0,-33.6,-50.8
4270,12,5113,CX,"LIG","long insular gyri, left",994824,126,79,91,-35.8,-15.7,13.5
4395,16,7461,CX,"DTA","anterior group of nuclei, left",1046125,101,75,99,-7.7,-23.8,19.1
4782,71,8309,CB,"Dt","dentate nucleus, left",1068359,104,118,131,-10.2,-60.4,-28.4
4703,69,8941,CB,"Ve-V","V",1110727,92,99,138,3.1,-67.1,-5.3
4727,71,8425,CB,"PV-VIIIB","VIIIB, left, paravermis",1110760,104,141,121,-10.2,-50.4,-56.4
4738,74,8363,CB,"He-VI","VI, left, lateral hemisphere",1110880,124,111,128,-32.8,-57.2,-20.5
4739,75,8395,CB,"He-Crus I","Crus I, left, lateral hemisphere",1110907,134,113,146,-43.7,-77.1,-21.0
9525,93,8741,BS,"CGS","central glial substance",1113080,97,144,113,-2.4,-41.7,-60.7
9543,93,8749,BS,"Cu","cuneate nucleus, left",1112082,99,143,115,-4.6,-43.9,-59.4
9544,93,8757,BS,"Cu","cuneate nucleus, right",1112085,93,143,115,2.1,-43.7,-59.3
9547,93,8773,BS,"10","dorsal motor nucleus of the vagus, right",1112152,95,144,114,-0.1,-42.7,-60.6
9556,93,8789,BS,"Gr","gracile nucleus, right",1112084,96,143,118,-1.2,-47.1,-59.1
9565,93,8805,BS,"IO","inferior olivary complex, right",1111694,91,144,110,4.3,-38.3,-61.0
9589,93,8813,BS,"CMRt","central medullary reticular group, left",1112670,100,143,112,-5.8,-40.6,-59.7
9593,93,8821,BS,"CMRt","central medullary reticular group, right",1112669,91,144,112,4.3,-40.5,-60.8
9614,93,8829,BS,"LMRt","lateral medullary reticular group, left",1111744,100,144,109,-5.8,-37.4,-61.1
9677,93,8750,BS,"Sp5","spinal trigeminal nucleus, left",1111551,102,143,114,-8.0,-42.8,-59.5
9684,93,8758,BS,"Sp5","spinal trigeminal nucleus, right",1111547,90,143,116,5.5,-44.8,-59.2
9520,93,8837,BS,"Arc","arcuate nucleus of medulla, left",1111836,101,141,106,-7.0,-34.0,-57.9
9543,93,8766,BS,"Cu","cuneate nucleus, left",1113846,99,139,116,-4.6,-44.8,-54.6
9544,93,8774,BS,"Cu","cuneate nucleus, right",1113845,91,139,115,4.3,-43.5,-54.6
9546,93,8845,BS,"10","dorsal motor nucleus of the vagus, left",1111878,96,140,114,-1.3,-42.6,-55.9
9547,93,8853,BS,"10","dorsal motor nucleus of the vagus, right",1111879,94,140,114,1.0,-42.5,-55.9
9556,93,8790,BS,"Gr","gracile nucleus, right",1113848,94,139,117,1.0,-45.8,-54.4
9558,93,8861,BS,"12","hypoglossal nucleus, left",1111803,96,140,113,-1.3,-41.5,-56.0
9559,93,8869,BS,"12","hypoglossal nucleus, right",1112287,95,140,112,-0.2,-40.4,-56.1
9561,93,8798,BS,"IO","inferior olivary complex, left",1112750,99,140,109,-4.7,-37.2,-56.4
9565,93,8806,BS,"IO","inferior olivary complex, right",1112749,92,140,109,3.1,-37.1,-56.4
9589,93,8814,BS,"CMRt","central medullary reticular group, left",1112999,99,140,111,-4.7,-39.4,-56.2
9593,93,8822,BS,"CMRt","central medullary reticular group, right",1112998,91,140,112,4.3,-40.3,-56.1
9614,93,8830,BS,"LMRt","lateral medullary reticular group, left",1112821,101,140,110,-6.9,-38.3,-56.3
9619,93,8743,BS,"LMRt","lateral medullary reticular group, right",1112820,90,140,109,5.4,-37.0,-56.4
9677,93,8751,BS,"Sp5","spinal trigeminal nucleus, left",1112673,101,140,114,-6.9,-42.7,-55.9
9684,93,8759,BS,"Sp5","spinal trigeminal nucleus, right",1112672,88,140,114,7.7,-42.4,-55.9
9525,93,8877,BS,"CGS","central glial substance",1111304,95,140,113,-0.2,-41.5,-56.0
9520,93,8885,BS,"Arc","arcuate nucleus of medulla, left",1111883,98,138,105,-3.7,-32.7,-54.5
9543,93,8893,BS,"Cu","cuneate nucleus, left",1113873,101,136,117,-6.9,-45.8,-50.9
9546,93,8909,BS,"10","dorsal motor nucleus of the vagus, left",1112155,97,136,116,-2.4,-44.6,-51.0
9558,93,8925,BS,"12","hypoglossal nucleus, left",1112153,96,136,115,-1.3,-43.5,-51.1
9559,93,8838,BS,"12","hypoglossal nucleus, right",1112154,94,136,114,0.9,-42.4,-51.2
9561,93,8846,BS,"IO","inferior olivary complex, left",1113176,98,137,109,-3.6,-37.1,-52.9
9565,93,8854,BS,"IO","inferior olivary complex, right",1113175,93,137,109,2.0,-37.0,-52.9
9598,93,8862,BS,"GiRt","gigantocellular group, left",1112871,98,137,114,-3.6,-42.5,-52.4
9604,93,8870,BS,"GiRt","gigantocellular group, right",1112872,94,137,113,0.9,-41.3,-52.5
9614,93,8878,BS,"LMRt","lateral medullary reticular group, left",1113570,101,137,113,-6.9,-41.5,-52.5
9642,93,8886,BS,"RaM","raphe nuclei of medulla",1113233,96,137,113,-1.3,-41.4,-52.5
9684,93,8902,BS,"Sp5","spinal trigeminal nucleus, right",1113517,89,137,113,6.5,-41.2,-52.5
9698,93,8910,BS,"8Ve","vestibular nuclei, left",1113869,100,136,119,-5.7,-48.0,-50.7
9703,93,8918,BS,"8Ve","vestibular nuclei, right",1113872,91,136,116,4.3,-44.5,-51.0
9619,93,8926,BS,"LMRt","lateral medullary reticular group, right",1113569,90,137,111,5.4,-39.1,-52.7
9589,93,8839,BS,"CMRt","central medullary reticular group, left",1113712,99,137,114,-4.7,-42.5,-52.4
9593,93,8847,BS,"CMRt","central medullary reticular group, right",1113711,92,137,113,3.2,-41.3,-52.5
9555,93,8855,BS,"Gr","gracile nucleus, left",1113874,98,136,118,-3.5,-46.8,-50.8
9556,93,8863,BS,"Gr","gracile nucleus, right",1113876,91,136,117,4.3,-45.6,-50.9
9520,93,8871,BS,"Arc","arcuate nucleus of medulla, left",1112855,96,135,105,-1.5,-32.6,-50.9
9529,93,8879,BS,"8Co","cochlear nuclei, left",1114157,105,133,116,-11.4,-44.7,-47.5
9546,93,8887,BS,"10","dorsal motor nucleus of the vagus, left",1112291,96,133,117,-1.3,-45.6,-47.4
9547,93,8895,BS,"10","dorsal motor nucleus of the vagus, right",1112294,91,133,115,4.3,-43.3,-47.6
9544,93,8888,BS,"Cu","cuneate nucleus, right",1114116,87,133,115,8.7,-43.2,-47.6
9558,93,8896,BS,"12","hypoglossal nucleus, left",1112903,95,133,116,-0.2,-44.5,-47.5
9559,93,8904,BS,"12","hypoglossal nucleus, right",1112343,94,133,114,0.9,-42.3,-47.7
4040,6,4618,CX,"trIFG","inferior frontal gyrus, triangular part, right",983521,50,90,40,48.8,41.0,-4.4
4034,8,8365,CX,"MFG-i","middle frontal gyrus, right, inferior bank of gyrus",992896,57,67,53,40.9,27.6,24.0
4145,18,4812,CX,"MTG-s","middle temporal gyrus, right, superior bank of gyrus",997605,43,85,126,57.7,-52.5,10.0
4226,14,8373,CX,"CgGf-s","cingulate gyrus, frontal part, right, superior bank of gyrus",998543,87,59,84,7.7,-6.5,36.4
4740,75,8403,CB,"He-Crus II","Crus II, left, lateral hemisphere",1110909,131,128,150,-40.2,-82.0,-38.3
4155,16,5109,CX,"ITG-mts","inferior temporal gyrus, right, bank of mts",1011606,37,109,111,64.5,-37.0,-19.7
4163,16,5125,CX,"FuG-l","fusiform gyrus, right, lateral bank of gyrus",1013982,70,110,111,27.5,-37.6,-20.9
4203,22,5166,CX,"OTG-s","occipito-temporal gyrus, right, superior bank of gyrus",1011582,68,108,149,30.2,-79.0,-14.8
4158,12,5210,CX,"FuG-its","fusiform gyrus, left, bank of the its",994881,128,116,86,-37.7,-11.7,-30.5
4773,63,8381,CB,"He-Crus II","Crus II, right, lateral hemisphere",1110921,59,135,123,40.2,-51.5,-49.1
4773,63,8389,CB,"He-Crus II","Crus II, right, lateral hemisphere",1110922,59,131,128,40.3,-56.8,-43.9
4774,64,8445,CB,"He-VIIB","VIIB, right, lateral hemisphere",1110846,65,138,131,33.6,-60.5,-51.8
4775,64,8358,CB,"He-VIIIA","VIIIA, right, lateral hemisphere",1110849,65,141,140,33.8,-70.4,-54.5
4775,64,8366,CB,"He-VIIIA","VIIIA, right, lateral hemisphere",1110848,65,144,130,33.7,-59.6,-59.0
4771,64,8429,CB,"He-VI","VI, right, lateral hemisphere",1110860,65,115,109,33.2,-35.6,-27.0
4771,64,8437,CB,"He-VI","VI, right, lateral hemisphere",1110861,65,112,122,33.3,-49.6,-22.1
4772,64,8397,CB,"He-Crus I","Crus I, right, lateral hemisphere",1110834,65,123,153,33.8,-83.9,-32.0
4773,64,8405,CB,"He-Crus II","Crus II, right, lateral hemisphere",1110836,65,128,146,33.7,-76.4,-38.6
4772,64,8413,CB,"He-Crus I","Crus I, right, lateral hemisphere",1110835,66,114,145,32.5,-74.8,-22.2
4773,64,8421,CB,"He-Crus II","Crus II, right, lateral hemisphere",1110837,65,132,151,33.8,-82.0,-42.8
4752,67,8391,CB,"PV-IV","IV, right, paravermis",1110008,82,110,111,14.1,-37.9,-20.9
4753,67,8399,CB,"PV-V","V, right, paravermis",1110011,82,105,126,14.2,-54.0,-13.5
4752,67,8407,CB,"PV-IV","IV, right, paravermis",1110045,82,115,112,14.1,-39.2,-26.7
4753,67,8415,CB,"PV-V","V, right, paravermis",1110046,82,107,115,14.1,-42.1,-17.0
4759,67,8438,CB,"PV-VIIIA","VIIIA, right, paravermis",1110031,83,136,147,13.7,-78.2,-47.9
4761,67,8359,CB,"PV-IX","IX, right, paravermis",1110029,83,133,129,13.4,-58.4,-46.2
4759,67,8367,CB,"PV-VIIIA","VIIIA, right, paravermis",1110034,83,139,139,13.6,-69.6,-52.3
4760,67,8375,CB,"PV-VIIIB","VIIIB, right, paravermis",1110033,83,132,133,13.4,-62.7,-44.6
4761,67,8383,CB,"PV-IX","IX, right, paravermis",1110032,82,133,129,14.5,-58.4,-46.2
4755,67,8374,CB,"PV-VI","VI, right, paravermis",1110055,82,111,138,14.4,-67.4,-19.4
4756,67,8382,CB,"PV-Crus I","Crus I, right, paravermis",1110052,82,117,159,14.8,-90.5,-24.4
4757,67,8390,CB,"PV-Crus II","Crus II, right, paravermis",1110051,83,129,156,13.7,-87.7,-38.8
4758,67,8398,CB,"PV-VIIB","VIIB, right, paravermis",1110050,83,130,154,13.7,-85.6,-40.2
4755,67,8406,CB,"PV-VI","VI, right, paravermis",1110056,82,111,149,14.6,-79.4,-18.3
4756,67,8414,CB,"PV-Crus I","Crus I, right, paravermis",1110054,82,114,152,14.6,-82.7,-21.6
4757,67,8422,CB,"PV-Crus II","Crus II, right, paravermis",1110053,82,123,148,14.7,-78.7,-32.5
4758,67,8430,CB,"PV-VIIB","VIIB, right, paravermis",1110049,83,132,152,13.7,-83.5,-42.7
4701,69,8440,CB,"Ve-III","III",1110745,92,102,118,2.9,-45.4,-10.8
4711,69,8448,CB,"Ve-IX","IX",1110747,93,133,132,2.2,-61.9,-45.9
4701,69,8369,CB,"Ve-III","III",1110746,92,108,116,2.9,-43.4,-18.1
4711,69,8377,CB,"Ve-IX","IX",1110749,93,119,127,2.0,-55.9,-29.9
4713,69,8385,CB,"Ve-X","X",1110750,93,132,129,2.2,-58.6,-45.0
4702,69,8392,CB,"Ve-IV","IV",1110731,92,92,129,2.9,-57.0,2.0
4703,69,8400,CB,"Ve-V","V",1110728,92,102,136,3.1,-65.0,-9.0
4705,69,8408,CB,"Ve-VI","VI",1110729,92,103,145,3.2,-74.9,-9.3
4702,69,8416,CB,"Ve-IV","IV",1110732,92,103,126,3.0,-54.1,-11.2
4703,69,8424,CB,"Ve-V","V",1110727,91,99,138,4.2,-67.1,-5.3
4705,69,8432,CB,"Ve-VI","VI",1110730,92,107,136,3.2,-65.2,-14.9
4707,69,8423,CB,"Ve-VIIAt","VIIAt",1110735,92,118,153,3.5,-84.2,-26.2
4708,69,8431,CB,"Ve-VIIB","VIIB",1110737,93,117,143,2.2,-73.3,-26.0
4709,69,8439,CB,"Ve-VIIIA","VIIIA",1110738,93,128,138,2.3,-68.2,-39.4
4710,69,8447,CB,"Ve-VIIIB","VIIIB",1110739,93,119,134,2.1,-63.5,-29.2
4707,69,8360,CB,"Ve-VIIAt","VIIAt",1110736,93,109,150,2.2,-80.6,-15.9
4708,69,8368,CB,"Ve-VIIB","VIIB",1110740,93,113,145,2.2,-75.3,-21.1
4709,69,8376,CB,"Ve-VIIIA","VIIIA",1110741,93,122,141,2.2,-71.3,-32.1
4710,69,8384,CB,"Ve-VIIIB","VIIIB",1110742,93,127,135,2.2,-64.9,-38.5
4720,71,8410,CB,"PV-V","V, left, paravermis",1110775,104,107,125,-10.4,-53.4,-16.0
4720,71,8418,CB,"PV-V","V, left, paravermis",1110776,104,101,134,-10.4,-63.0,-8.1
4722,71,8378,CB,"PV-VI","VI, left, paravermis",1110769,104,107,149,-10.1,-79.6,-13.6
4723,71,8386,CB,"PV-Crus I","Crus I, left, paravermis",1110771,104,117,157,-9.9,-88.7,-24.6
4722,71,8394,CB,"PV-VI","VI, left, paravermis",1110770,104,107,142,-10.2,-72.0,-14.3
4723,71,8402,CB,"PV-Crus I","Crus I, left, paravermis",1110772,104,110,160,-9.9,-91.7,-16.1
4728,71,8433,CB,"PV-IX","IX, left, paravermis",1110763,104,134,127,-10.1,-56.7,-47.6
4730,71,8441,CB,"PV-X","X, left, paravermis",1110765,104,128,121,-10.3,-49.9,-41.1
4727,71,8449,CB,"PV-VIIIB","VIIIB, left, paravermis",1110759,104,138,129,-10.1,-59.0,-52.1
4728,71,8362,CB,"PV-IX","IX, left, paravermis",1110764,104,132,127,-10.2,-56.6,-45.2
4730,71,8370,CB,"PV-X","X, left, paravermis",1110766,105,121,115,-11.5,-43.1,-33.5
4725,71,8393,CB,"PV-VIIB","VIIB, left, paravermis",1110753,104,133,152,-9.8,-83.9,-43.9
4726,71,8401,CB,"PV-VIIIA","VIIIA, left, paravermis",1110755,104,136,146,-9.9,-77.5,-48.1
4725,71,8409,CB,"PV-VIIB","VIIB, left, paravermis",1110754,104,126,146,-10.0,-77.1,-36.3
4726,71,8417,CB,"PV-VIIIA","VIIIA, left, paravermis",1110756,104,135,140,-10.0,-70.9,-47.5
